plu_id,plu_nm
3535,Котлеты свиные ПУШИСТЫЕ     1кг
3536,СПм Котлеты ПРИЯТНОГО АППЕТИТА 1кг
8635,Км Ребра свиные ЭКСТРА         1кг
2092122,СПм Свинина в сырном кляре 1кг
3387719,Корейка свиная б/к на подложке 1кг
85955,Рулет из грудинки с фаршем  1кг
3028397,Пр-во Свиная отбивная окорок
3402119,СЖм Свинина духовая 1кг
52994,СПм Рулет СТАРОМОСКОВСКИЙ       1кг
4508,Км Вырезка свиная 1кг
3611073,САМСОН Лопатка сниная охл.1кг
3296679,Корейка баранья в мар.п/ф Мясн.цех 1кг
3293688,Поджарка из свинины п/ф.Мясн.цех
3311085,Свинина д/тушения в мар.охл 1кг
3028398,Пр-во Свиная отбивная шея
77020065,Гуляш свиной охлажденный    1кг
12605,Гуляш из свинины 1кг
28261,Свинина охлажд.мякоть       1кг
6523,Км Свиная лопаточная часть с костью 1кг
3066713,Пр-во Свинина Корейка фарширова
3034321,ВЕЛИК.Отруб перед.с голяш.н/к охл.в/у1кг
3095403,СПм Свинина окорок для запекания охл.1кг
3077472,СПм Свинина мясо котлетное зам.1кг
3294034,Свинина по-Украински п/ф.Мясн.цех 1кг
11511,СПм Поджарка свиная 1кг
92552,Поджарка свиная п/ф         1кг
3076690,Пр-во ф.п.Свинина (грудинка без
3095881,СПм Свинина ШЕЯ для запекания 1кг
14124,ребра свиные в маринаде пушта 1кг
2094457,Шейка/1кг/ свиная замороженная
2098291,Рулька свиная 1кг
912,СПм Шейка свиная б/к 1кг
3401893,СЖм Шницель отбивной в панировке 1кг
3296751,Свинина   в шкуре (ПАД )1кг
3387024,СПм Окорок передний свиной на подл.1кг
3076999,Пр-во Свинина (окорок б/к)
89166,Эскалоп                     1кг
39256,Поджарка ЭКСТРА свинина     1кг
38949,Гуляш ЭКСТРА свинина        1кг
73414,СПм Шейка свиная б/к на подложке 1кг
3023140,Шницель в панировке 1кг
7789,KORP.Ростбиф С РОЗ.ПЕРЦ.нар.1кг
78007711,СПм Окорок свиной с костью 1кг
61592,Свинина ДЛЯ ТУШЕНИЯ         1кг
4137681,МЯС.ПОД.Отруб св.тазоб.б/гол.б/к охл.1кг
3402153,СЖм Рулет СТАРОМОСКОВСКИЙ       1кг
86488,Свинина 3кат.в полут.в/ш охл1кг
3294017,Окорок свиной н/к 1кг
89329,Шейка свиная                1кг
38681,"СП Гуляш свиной ПФ, вес"
3228181,Лопатка из свинины охлажден.г/с 1кг
88024,Лопатка СВИНАЯ б/к охл.подл.1кг
39836,Шпиг свиной                 1кг
2093072,Свинина 1кг шейка б/к охл  АВТОМАТ
3096034,Пр-во Гуляш экстра Праздничный
3292762,Грудинка свиная по-казачьи Остров-2 1кг
43192,Свинина                     1кг
78007714,СЖм Лопаточная часть с костью 1кг
3215328,Окорок свиной б/к Бразилия  ПРО
12541,Свинина 1кг лопаточная часть охл ингред
3283937,Мякоть котлетная говядины п\ф Сырьё 1кг
3401928,СЖм Поджарка свиная 1кг
6521,Км Корейка СВИНАЯ с костью 1кг
3387720,Котлеты отбивные из свинины на подл.1кг
52995,СПм Котлета СТАРОРУССКАЯ        1кг
12482,"Км Пер.окорок свСП.ЦЕНА СВ.1,5КГ 1кг"
88197,Котлета натуральная         1кг
3022884,Эскалоп фаршированный сыром 1кг
3401926,СЖм Котлеты отбивные из свинины 1кг
79876,СПм Корейка СВИНАЯ с черносливом 1кг
92495,Шейка ДОЛМАШНЯЯ свинина п/ф 1кг
77020059,Шейка свиная охлажденная    1кг
37340,Шпиг ПО-ДОМАШНЕМУ           1кг
3292360,Шейка свин.б/к Любител.п/ф.Мясн.цех 1кг
3402046,СЖм Шейка ДОМАШНЯЯ свинина 1кг
3311069,П/фСвининаКрупКусОхлВесОрНив 1кг
3803,Котлеты ПИКАНТНЫЕ свиные   1кг
4832,СПм Передний окорок свиной 1кг
3293907,Карбонад свиной в марин.Пасадена 1кг
13562,Корейка на кости АКЦИЯ ПРИХОД
10608,Км Свинина окорок  1кг
398,Корейка свиная              1кг
3022788,Свинина лопаточная часть охл.нек.1кг
2098926,Рулька свиная н/к с/м СКК 1кг
78006313,СПц Свиная лопаточная часть н/к б/ш 1кг
3293927,Корейка свиная Любительская н/к 1кг
39055,"СП Свинина для жарки ПФ, вес"
3312464,СП Шашлык мар.в гранат соке 1кг
78006324,СПц Вырезка свиная 1кг
77007289,"СПм Пер.окорок свСП.ЦЕНА СВ.1,5КГ 1кг"
3074436,Св.р. Свинина корейка б/к охл.
3401916,СЖм Вырезка свиная 1кг
2137676,Шницель свиной              1кг
3095469,Пр-во Свинина б/к охл. Корейка
89408,Поджарка свиная             1кг
4137678,МЯС.ПОД.Отруб свин.шейный б/к охл.1кг
39029,"СП Свинина без шкуры и шпика ПФ, вес"
3094629,Пр-во Свинина Голяшка
78005063,ХОРОШ.ДЕЛО Вырезка свин.фас.1кг
3023139,Шницель 1кг
3401854,СЖм Передний окорок свиной 1кг
92486,Свинина ЭКСТРА п/ф          1кг
92491,"Свинина для запекания,п/ф   1кг"
39026,"СП Свиная отбивная ПФ, вес"
37342,Шаурма из свинины           1кг
3095181,Пр-во Свинина филейная (средняя
2098840,Шашлык Кавказский/охл 1кг
4806,Км Окорок задний свиной 1кг
6631,Км Ребра свиные острые 1кг
92500,"Шашлык ЭКСТРА, свинина п/ф  1кг"
3292882,Эскалоп из свинины Остров-2 1кг
3094260,Пр-во Грудинка фаршированная
2098379,Карбонат свиной 1кг охл
3292856,Улитка свиная Остров-2 1кг
3402095,СЖм Котлеты ДЕРЕВЕНСКИЕ из свинины 1кг
2100626,Гуляш свиной охлажденный    1кг
6512,Км Окорок СВИНОЙ с костью  1кг
89279,Гуляш свиной                1кг
2093054,Свинина Окорок охл Автомат 1кг
723,СПм Вырезка свиная 1кг
39094,"СП Свинина духовая ПФ, вес"
2092120,СПм Свинина с кунжутом          1кг
2115609,Шейка СВИНАЯ                1кг
85122,Жир свиной                  1кг
3096033,Пр-во Гуляш экстра Праздничный
2082360,Свинина ЭКСТРА              1кг
7322,Азу свиное                  1кг
39995,Окорок свиной б/к в/у 1кг
3293921,Корейка свиная в Остром соусе 1кг
85944,Корейка СВИНАЯ с фаршем     1кг
3095274,Пр-во Свинина Котлеты из шеи охл. Филея
3065291,Пр-во Свинина Шейная часть к/к в/у сырье
3078997,Пр-во Свинина отбивная (окорок)
3034305,ВЕЛИК.Отруб шейный свиной б/к охл.в/у1кг
3225335,Свинина/1сорт/ 1кг/ингредиент
92496,Эскалоп фаршированный из свинины п/ф 1кг
8632,Км Шкура свиная                1кг
3034304,ВЕЛИК.Отруб свиной сп.-п.б/к охл.в/у 1кг
64507,Шейка свиная п/ф б/к кат.Б 1кг
52997,СПм Котлета нат.с грибами       1кг
3022791,СПм Свинина окорок  1кг
3402344,СПм Корейка СВИНАЯ с фаршем 1кг
2155433,Грудинка свиная охлажденная 1кг
4460,Свинина 2 категории без шкурки 1кг
78002692,Вырезка свиная 1кг
3022793,Свинина окорок охлажденная 1кг
3293544,СПм Лопатка свиная б/к 1кг
3401861,СЖм Окорок задний свиной 1кг
3022849,Свинина Экстра вес 1кг
3401842,СЖм Свинина ШЕЯ для запекания 1кг
3418263,СЖм Котлета СТАРОРУССКАЯ        1кг
2098376,Окорок 1кг свинина
86287,Свинина 2кат.в полут.в/ш охл1кг
273,СВИНИНА шейная часть        1кг
89282,Мясо для шашлыка            1кг
3537,СПм СВИНИНА фарш.сыром и гриб.  1кг
3325775,Шпик с черным перцем для жарки 1кг
12483,"Км Поджарка свинСП.ЦЕНА СВ.1,5КГ 1кг"
37377,Обрезь свиная               1кг
3075994,Пр-во Свинина Тазобедренная час
12412,СПм Передний окорок свиной 1кг
84864,Шейка свиная без кости охл.в/у 1кг
43468,СПм Корейка фарш.грец.орех.и сыром 1кг
4973,Км Кость свиная                1кг
64436,Шницель свиной п/ф бескостный кат.А 1кг
2092845,Печень свиная охлажд 1кг
37233,Свинина ДЛЯ ТУШЕНИЯ         1кг
3016606,Свинина шея б/к охл.1кг
78007712,СЖм Окорок свиной с костью 1кг
3228178,Грудинка свиная охл.б/к б/ш ж/л 1кг
77020062,Филе лопаточной части свинины охл.1кг
3074364,Св.разруб Свиной шашлык охл
59202,Шаурма ИЗ СВИНИНЫ           1кг
92547,Корейка свиная п/ф          1кг
43466,СПм Рулет ДНЕПРОВСКИЙ           1кг
2098374,Ножки 1кг для студня свиные охл
3287795,СПм Карбонат свиной 1кг
79901,СПм Шейка СВИНАЯ с фаршем       1кг
37906,Свинина ПО-СИБИРСКИ         1кг
14058,шашлык свиной Любительский 1кг охл п/ф
21915,ТВЕРЕЦКИЙ Вырезка НЕЖНАЯ    1кг
