,part_in_%,walked_qty,cust_qty,r_f_qty,r_f_in_%,f_r_qty,f_r_in_%,f_o_qty,f_o_in_%,o_f_qty,o_f_in_%,sprint_start,sprint_end
0,15.3,7605747,49624760,2358607,4.8,2673781,5.4,1098846,2.2,1018764,2.1,2021-01-01,2021-01-22
1,16.7,8352829,49980779,2604784,5.2,3170818,6.3,1158953,2.3,951212,1.9,2021-01-22,2021-02-12
2,16.3,8174217,50271624,2937373,5.8,2655624,5.3,1181965,2.4,944715,1.9,2021-02-12,2021-03-05
3,16.2,8173158,50498321,2983920,5.9,2600057,5.1,1164822,2.3,1009489,2.0,2021-03-05,2021-03-26
4,16.3,8279048,50648276,2886327,5.7,2781063,5.5,1274661,2.5,933668,1.8,2021-03-26,2021-04-16
5,16.3,8286235,50977848,2955825,5.8,2731618,5.4,1314947,2.6,860078,1.7,2021-04-16,2021-05-07
6,16.1,8223611,51220603,2748878,5.4,2803521,5.5,1349702,2.6,886333,1.7,2021-05-07,2021-05-28
7,16.6,8521040,51361465,2786432,5.4,2968158,5.8,1306032,2.5,975143,1.9,2021-05-28,2021-06-18
8,16.7,8588793,51534961,2852428,5.5,2864980,5.6,1355304,2.6,998789,1.9,2021-06-18,2021-07-09
9,16.7,8627540,51716017,2748135,5.3,3004609,5.8,1233193,2.4,1098762,2.1,2021-07-09,2021-07-30
10,16.7,8673391,51849975,2847597,5.5,3063455,5.9,1189791,2.3,1048709,2.0,2021-07-30,2021-08-20
11,16.7,8696284,51968838,3108229,6.0,2882095,5.5,1145960,2.2,1075484,2.1,2021-08-20,2021-09-10
