,part_in_%,walked_qty,cust_qty,r_f_qty,r_f_in_%,f_r_qty,f_r_in_%,f_o_qty,f_o_in_%,o_f_qty,o_f_in_%,sprint_start,sprint_end
0,1.27,658024,51919174,196756,0.38,198719,0.38,123056,0.24,110695,0.21,2021-08-20,2021-08-21
1,1.26,656742,51919171,176492,0.34,197965,0.38,114642,0.22,138479,0.27,2021-08-21,2021-08-22
2,1.37,709534,51918599,202639,0.39,214013,0.41,135595,0.26,126327,0.24,2021-08-22,2021-08-23
3,1.32,684030,51921829,202283,0.39,199022,0.38,127389,0.25,126079,0.24,2021-08-23,2021-08-24
4,1.29,668281,51921484,205231,0.4,177956,0.34,129424,0.25,126999,0.24,2021-08-24,2021-08-25
5,1.33,687977,51919714,200716,0.39,195230,0.38,126615,0.24,135829,0.26,2021-08-25,2021-08-26
6,1.34,695165,51919284,217944,0.42,192720,0.37,138986,0.27,115588,0.22,2021-08-26,2021-08-27
7,1.27,661880,51917029,205087,0.4,188629,0.36,124981,0.24,113942,0.22,2021-08-27,2021-08-28
8,1.28,665884,51911046,182306,0.35,197758,0.38,113797,0.22,141340,0.27,2021-08-28,2021-08-29
9,1.37,711816,51905849,209031,0.4,207418,0.4,133980,0.26,128074,0.25,2021-08-29,2021-08-30
10,1.36,705441,51901978,216256,0.42,198978,0.38,129410,0.25,128698,0.25,2021-08-30,2021-08-31
11,1.29,671075,51897246,208671,0.4,176526,0.34,125885,0.24,129619,0.25,2021-08-31,2021-09-01
12,1.35,700394,51880729,209343,0.4,194359,0.37,129218,0.25,137825,0.27,2021-09-01,2021-09-02
13,1.34,694105,51867445,213091,0.41,190967,0.37,136288,0.26,124751,0.24,2021-09-02,2021-09-03
14,1.28,662003,51852639,203661,0.39,191558,0.37,125222,0.24,113815,0.22,2021-09-03,2021-09-04
15,1.27,657286,51840387,180562,0.35,196148,0.38,114320,0.22,139253,0.27,2021-09-04,2021-09-05
16,1.36,702826,51834748,205828,0.4,208578,0.4,135296,0.26,125047,0.24,2021-09-05,2021-09-06
17,1.31,677473,51829722,201836,0.39,194795,0.38,126771,0.24,127219,0.25,2021-09-06,2021-09-07
18,1.27,660292,51816025,198006,0.38,178658,0.34,128436,0.25,129262,0.25,2021-09-07,2021-09-08
19,1.32,681735,51812617,190826,0.37,194622,0.38,126732,0.24,143240,0.28,2021-09-08,2021-09-09
20,1.35,700253,51799313,212211,0.41,195240,0.38,141517,0.27,123665,0.24,2021-09-09,2021-09-10
