plu_code,hive_dataflow_dttm,dataflow_id,dataflow_dttm,plu_rk,plu_cmh_rk,plu_cmh_id,plu_nm,plu_type_dk,control_category_dk,control_category_desc,plu_hierarchy_lvl_1_dk,plu_hierarchy_lvl_1_desc,plu_hierarchy_lvl_2_dk,plu_hierarchy_lvl_2_desc,plu_hierarchy_lvl_3_dk,plu_hierarchy_lvl_3_desc,plu_hierarchy_lvl_4_dk,plu_hierarchy_lvl_4_desc,financial_group_dk,financial_group_desc,plu_own_production_flg,plu_hierarchy_lvl4_acrm_id,synthetic_catalog_acrm_id,synthetic_catalog_nm,synthetic_catalog_code,segment_prod_nm,segment_prod_code,syntethic_category_id,price_range_dk,price_range_desc,plu_brand_code,plu_brand_hierarchy_lvl_nm,uom_code,plu_netto_weight_amt,plu_brutto_weight_amt,weight_uom_code,plu_height_amt,plu_width_amt,plu_depth_amt,best_before_day_cnt,plu_tare_type_dk,plu_tare_type_desc,plu_stm_flg,plu_tender_flg,plu_socially_significant_flg,price_segment_dk,price_segment_desc,abc_segment_dk,abc_segment_desc,vat_rate_amt,plu_origin_country_dk,plu_vendor_dk,plu_vendor_nm,alco_flg,cost,qty
3277866,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,354aceef611387f0a718fd3d6d141b86,cb005f71d31220694337e7e9ac6c7086,6616,СИГАРЕТЫ WINSTON SUPER SLIMS SILVER,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,4701,WINSTON,ST,0.030,0.030,кг,10.000000000000000000,5.500000000000000000,1.000000000000000000,730,32,Пачка,0,0,0,3,ВЦС,3,30,20,RU,41000169,Дж.Т.И.,0,180.909272,632984.000
3657184,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,b2ad81b89832237f9cb8f3edc3a2ccb9,b0c9980454050f93a76d533a22a394df,774723,СИГАРЕТЫ KENT СИЛЬВЕР,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,2382,KENT,ST,0.035,0.035,кг,8.500000000000000000,5.600000000000000000,2.200000000000000000,730,32,Пачка,0,0,0,5,PREMIUM,3,30,20,RU,41000171,Бритиш Американ Табак,0,193.267580,436326.000
3278627,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,911bf343cffbffa307f8ced9764e6639,e2e57d75fd04d533360aa350df522e08,7153,СИГАРЕТЫ L&M RED LABEL,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,2490,L&M,ST,0.030,0.030,кг,8.700000000000000000,5.600000000000000000,2.300000000000000000,730,32,Пачка,0,0,0,3,ВЦС,3,30,20,RU,41000170,Филип Моррис,0,160.433339,286794.000
3332034,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,52dc45eb7bc64423b090c2e0c233fcb9,206989e4f3363b0c9a59e6ac528de078,10020,СИГАРЕТЫ WINSTON SS FRESH MENTHOL,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,4701,WINSTON,ST,0.030,0.030,кг,10.000000000000000000,5.500000000000000000,1.000000000000000000,730,32,Пачка,0,0,0,3,ВЦС,3,30,20,RU,41000169,Дж.Т.И.,0,180.335378,212232.000
3277494,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,87fe2fcab2af07fff4c60ae92830aa7a,a59e8b582c2b3279c05e5c07f4ad89fb,6594,СИГАРЕТЫ PARLIAMENT SILVER BLUE,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,3374,PARLIAMENT,ST,0.050,0.050,кг,8.700000000000000000,5.600000000000000000,2.300000000000000000,730,32,Пачка,0,0,0,5,PREMIUM,3,30,20,RU,41000170,Филип Моррис,0,222.377088,161933.000
4144733,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,222402ab10eb8a0650c5d35234d0816b,fdef0f4088d7f97e99cf8494be0d5d8f,1179245,СИГАРЕТЫ SOBRANIE ELEMENT SAPPHIRE,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,91600,сигареты/SOBRANIE/ ST,4048,SOBRANIE,ST,0.015,0.015,кг,8.600000000000000000,5.700000000000000000,1.300000000000000000,730,32,Пачка,0,0,0,2,СЦС,3,30,20,RU,41000169,Дж.Т.И.,0,184.898718,59001.000
3468803,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,63c3b792c29484e85d310f39934f2a87,896962f418971eb9c7be56bae8e580b2,256019,СИГАРЕТЫ WINSTON XS PLUS BLUE ПАЧКА,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,4701,WINSTON,ST,0.024,0.029,кг,8.800000000000000000,5.800000000000000000,2.500000000000000000,730,32,Пачка,0,0,0,2,СЦС,3,30,20,RU,41000169,Дж.Т.И.,0,109.636364,11.000
27245,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,d266b9dff32d85d8d08ff8b816639bc2,8bba8684d92668a80ca713ec7c8ab173,6284,СИГАРЕТЫ ESSE ONE/1 SUPER SLIM,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,1451,ESSE,ST,0.050,0.050,кг,8.800000000000000000,5.500000000000000000,1.500000000000000000,730,32,Пачка,0,0,0,3,ВЦС,3,30,20,RU,41001084,Аверс Плюс,0,173.753857,132021.000
4066694,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,a609d734495e01d5bf9e00b21fe3b384,394ab780acab6435848f66b2b7b04f58,963004,СИГАРЕТЫ LD AUTOGRAPH 100'S BLUE ПАЧКА,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,2580,LD,ST,0.022,0.022,кг,10.500000000000000000,5.000000000000000000,1.900000000000000000,730,32,Пачка,0,0,0,2,СЦС,3,30,20,RU,41000169,Дж.Т.И.,0,110.249535,3803.000
4037614,2022-01-24 08:24:48.792,26655,2022-01-24 08:10:24.000,184ad03a6702302754d53f4d5348a99f,bf22e236b0e5af54e46871aa946d5d26,854159,СИГАРЕТЫ ROTHMANS ROYALS ГРИН,ZNFO,DR,Напитки,FD0000000,FOOD,FD1000000,Табачные изделия и аксессуары (Food),FD1001000,Табачные изделия и аксессуары,FD1001001,"Сигареты, папиросы",D4,ФК_Табак,0,592,161,Табак,104,Табак,TC5_104_270220,104,0,,3752,ROTHMANS,ST,0.020,0.023,кг,8.500000000000000000,4.800000000000000000,2.000000000000000000,730,32,Пачка,0,0,0,1,НЦС,3,30,20,RU,41000171,Бритиш Американ Табак,0,126.168524,317215.000
