;1_80928_sms_viber_cg;0_80928_sms_viber_cg
Размер выборки, чел.;11675;79953
Затраты на коммуникацию и на баллы (сумма delta с учетом redemption), руб.;-3387.5190000000002;63975.545999999675
Затраты на коммуникацию, руб./гость;0.0;1.3579467937413194
Затраты на коммуникацию, руб.;0.0;108571.9199999997
Софинансирование, руб./гость;0.0;1.4345615549135118
Софинансирование, руб.;0.0;114697.5
Покупка предложения(чек), товаров (шт);170166.04699999996;1205852.659999999
Покупка предложения(категория), товаров (шт);652.0;4747.0
Покупка предложения(набор plu), товаров (шт);2.0;210.0
Гостей, купившие что-нибудь;9155;63031
Гостей, купившие в категории;292;2071
Гостей, купившие в наборе plu;1;94
РТО(чек), руб.;10718440.000000004;72974827.23999998
РТО(категория), руб.;19582.6;138924.47000000006
РТО(набор plu), руб.;99.98;9192.350000000002
Баллов начислено за период, руб.;89735.70000000003;592029.8
Баллов списано за период, руб.;93629.39999999992;643290.0
ЭБ начислено за период, руб.;36774.0;260354.39999999997
ЭБ списано за период, руб.;8065.300000000001;65129.80000000001
Сумма delta баллов с учетом redemption, руб.;-3387.5190000000002;-44596.37400000003
Сумма delta ЭБ с учетом redemption, руб.;24976.568999999996;169845.40199999986
CR коммуникация;;0.9563743699423412
СR пришли в магазин;0.7841541755888651;0.7883506560104061
Дельта СR пришедших к КГ;;0.004196480421540971
Значимость пришедших уникальных гостей;;0.0
CR купивших в категории;0.02501070663811563;0.025902717846734955
Дельта CR (купивших в категории) к КГ;;0.0008920112086193248
Значимость купивших из категории;;0.0
CR купивших из набора plu;8.565310492505354e-05;0.0011756907182969994
Дельта CR (купивших из списка plu) конверсии к КГ;;0.001090037613371946
Значимость купивших из набора plu;;1.0
Значимость РТО(чек);;0.0
Эффект РТО(чек) на гостя, руб.;;-6.110676059948711
Эффект РТО(чек) на группу, руб.;;-487131.0
Эффект РТО(чек) на группу / РТО(чек) группы;;-0.006675329266596564
Значимость РТО(категория);;0.0
Эффект РТО(категория) на гостя, руб.;;0.06089179455095119
Эффект РТО(категория) на группу, руб.;;4854.0
Эффект РТО(категория) на группу / РТО(категория) группы;;0.03493984896973153
Значимость РТО(набор plu);;1.0
Эффект РТО(набор plu) на гостя, руб.;;0.10620279787462215
Эффект РТО(набор plu) на группу, руб.;;8466.0
Эффект РТО(набор plu) на группу / РТО(набор plu) группы;;0.9209832088638921
Значимость ФМ(чек);;1.0
Эффект ФМ(чек) на гостя, руб.;;-8.581270432057691
