;1_80928_sms_viber_cg;0_80928_sms_viber_cg
total_group_size;11675;79953
supplier_fin;0.0;114697.5
supplier_fin / total_group_size;0.0;1.4345615549135118
total_communications;0;76465
sms_costs;0.0;71420.51999999984
viber_costs;0.0;37151.399999999914
email_costs;0.0;0.0
communication_costs;0.0;108571.9199999997
communication_costs / total_group_size;0.0;1.3579467937413194
communication_costs + points_delta_with_redemption;-3387.5190000000002;63975.545999999675
accrued_points;89735.70000000003;592029.8
spent_points;93629.39999999992;643290.0
accrued_exp_points;36774.0;260354.39999999997
spent_exp_points;8065.300000000001;65129.80000000001
points_delta_with_redemption;-3387.5190000000002;-44596.37400000003
exp_points_delta_with_redemption;24976.568999999996;169845.40199999986
num_visits;23633;162284
num_unique_visits;9155;63031
rto_novat;10718440.000000004;72974827.23999998
quantity;170166.04699999996;1205852.659999999
front_margin_novat;2666328.959999999;17593734.72
front_margin_novat_wo_comm;2666328.959999999;17485162.799999986
commercial_front_margin_novat;2669716.4789999994;17638331.093999993
ebitda;2669716.4789999994;17529759.173999988
supplier_fin_ebitda;2669716.4789999994;17644456.673999988
categories_items_num_visits;312;2197
categories_items_num_unique_visits;292;2071
categories_items_rto_novat;19582.6;138924.47000000006
categories_items_quantity;652.0;4747.0
categories_items_front_margin_novat;9702.750000000002;69128.43999999997
categories_items_front_margin_novat_wo_comm;9702.750000000002;-39443.479999999734
categories_items_commercial_front_margin_novat;13090.269000000008;113724.81400000003
categories_items_ebitda;13090.269000000008;5152.893999999965
categories_items_supplier_fin_ebitda;13090.269000000008;119850.39399999991
experiment_items_num_visits;1;97
experiment_items_num_unique_visits;1;94
experiment_items_rto_novat;99.98;9192.350000000002
experiment_items_quantity;2.0;210.0
experiment_items_front_margin_novat;53.760000000000005;4484.949999999999
experiment_items_front_margin_novat_wo_comm;53.760000000000005;-104086.9699999997
experiment_items_commercial_front_margin_novat;3441.2790000000005;49081.32400000003
experiment_items_ebitda;3441.2790000000005;-59490.596000000034
experiment_items_supplier_fin_ebitda;3441.2790000000005;55206.90399999995
mean_effect_categories_items_num_unique_visits;;0.0009470346748192443
effect_left_bound_categories_items_num_unique_visits;;-0.0015602330854494117
effect_right_bound_categories_items_num_unique_visits;;0.0032952981536120887
mean_effect_categories_items_num_unique_visits * total_group_size;;75.0
control_metric_means_categories_items_num_unique_visits;;0.025023647777108953
target_metric_mean_categories_items_num_unique_visits;;0.02594144358864999
metric_pvalue_categories_items_num_unique_visits;;0.41700000000000004
metric_significance_categories_items_num_unique_visits;;0.0
mean_effect_categories_items_num_unique_visits * total_group_size / categories_items_num_unique_visits;;0.036214389183969097
mean_effect_categories_items_num_visits;;0.0009870988123754517
effect_left_bound_categories_items_num_visits;;-0.0017530241517291353
effect_right_bound_categories_items_num_visits;;0.003663701049769102
mean_effect_categories_items_num_visits * total_group_size;;79.0
control_metric_means_categories_items_num_visits;;0.026571502278785793
target_metric_mean_categories_items_num_visits;;0.027522015103238918
metric_pvalue_categories_items_num_visits;;0.439
metric_significance_categories_items_num_visits;;0.0
mean_effect_categories_items_num_visits * total_group_size / categories_items_num_visits;;0.035958124715521164
mean_effect_categories_items_rto_novat;;0.06089179455095119
effect_left_bound_categories_items_rto_novat;;-0.14470738069771408
effect_right_bound_categories_items_rto_novat;;0.270406467575485
mean_effect_categories_items_rto_novat * total_group_size;;4854.0
control_metric_means_categories_items_rto_novat;;1.675168974116433
target_metric_mean_categories_items_rto_novat;;1.7369789758900123
metric_pvalue_categories_items_rto_novat;;0.4685
metric_significance_categories_items_rto_novat;;0.0
mean_effect_categories_items_rto_novat * total_group_size / categories_items_rto_novat;;0.03493984896973153
mean_effect_categories_items_front_margin_novat;;0.034497534652834234
effect_left_bound_categories_items_front_margin_novat;;-0.07190301574346773
effect_right_bound_categories_items_front_margin_novat;;0.14099733848232593
mean_effect_categories_items_front_margin_novat * total_group_size;;2750.0
control_metric_means_categories_items_front_margin_novat;;0.8297901797231061
target_metric_mean_categories_items_front_margin_novat;;0.8647635414837301
metric_pvalue_categories_items_front_margin_novat;;0.45794999999999997
metric_significance_categories_items_front_margin_novat;;0.0
mean_effect_categories_items_front_margin_novat * total_group_size / categories_items_front_margin_novat;;0.03978102210899018
mean_effect_categories_items_front_margin_novat_wo_comm;;-1.32343432565475
effect_left_bound_categories_items_front_margin_novat_wo_comm;;-1.4298163198731975
effect_right_bound_categories_items_front_margin_novat_wo_comm;;-1.216692941134676
mean_effect_categories_items_front_margin_novat_wo_comm * total_group_size;;-105502.0
control_metric_means_categories_items_front_margin_novat_wo_comm;;0.8297901797231061
target_metric_mean_categories_items_front_margin_novat_wo_comm;;-0.49316942221330157
metric_pvalue_categories_items_front_margin_novat_wo_comm;;0.0
metric_significance_categories_items_front_margin_novat_wo_comm;;1.0
mean_effect_categories_items_front_margin_novat_wo_comm * total_group_size / categories_items_front_margin_novat_wo_comm;;-2.6747639914125405
mean_effect_categories_items_commercial_front_margin_novat;;0.3024555902896335
effect_left_bound_categories_items_commercial_front_margin_novat;;-0.30341876856163313
effect_right_bound_categories_items_commercial_front_margin_novat;;0.8832299999299814
mean_effect_categories_items_commercial_front_margin_novat * total_group_size;;24111.0
control_metric_means_categories_items_commercial_front_margin_novat;;0.9780844440622581
target_metric_mean_categories_items_commercial_front_margin_novat;;1.2744180987982638
metric_pvalue_categories_items_commercial_front_margin_novat;;0.34135000000000004
metric_significance_categories_items_commercial_front_margin_novat;;0.0
mean_effect_categories_items_commercial_front_margin_novat * total_group_size / categories_items_commercial_front_margin_novat;;0.21201177783416725
mean_effect_categories_items_ebitda;;-1.0554762700179503
effect_left_bound_categories_items_ebitda;;-1.6614524748763921
effect_right_bound_categories_items_ebitda;;-0.4748745686743484
mean_effect_categories_items_ebitda * total_group_size;;-84140.0
control_metric_means_categories_items_ebitda;;0.9780844440622581
target_metric_mean_categories_items_ebitda;;-0.08351486489876779
metric_pvalue_categories_items_ebitda;;0.0030499999999999998
metric_significance_categories_items_ebitda;;1.0
mean_effect_categories_items_ebitda * total_group_size / categories_items_ebitda;;-16.328688306027754
