;0_80782_sms_viber_cg;1_80782_sms_viber_cg
Размер выборки, чел.;59944;14986
Затраты на коммуникацию и на баллы (сумма delta с учетом redemption), руб.;-6307.203000000212;-19237.439999999995
Затраты на коммуникацию, руб./гость;1.3478329774456128;0.0
Затраты на коммуникацию, руб.;80794.49999999981;0.0
Софинансирование, руб./гость;1.3686273855598559;0.0
Софинансирование, руб.;82041.0;0.0
Покупка предложения(чек), товаров (шт);1473892.551;367935.02599999984
Покупка предложения(категория), товаров (шт);29395.0;7321.0
Покупка предложения(набор plu), товаров (шт);259.0;21.0
Гостей, купившие что-нибудь;51375;12811
Гостей, купившие в категории;10033;2532
Гостей, купившие в наборе plu;112;9
РТО(чек), руб.;92199307.07;23035469.65
РТО(категория), руб.;781758.33;192732.17
РТО(набор plu), руб.;11047.550000000001;943.4
Баллов начислено за период, руб.;834334.2000000001;205814.40000000005
Баллов списано за период, руб.;934451.1000000002;227926.39999999997
ЭБ начислено за период, руб.;117718.20000000001;28708.899999999976
ЭБ списано за период, руб.;57715.99999999998;13887.7
Сумма delta баллов с учетом redemption, руб.;-87101.70300000002;-19237.439999999995
Сумма delta ЭБ с учетом redemption, руб.;52201.91399999998;12894.443999999992
CR коммуникация;0.9124182570399039;
СR пришли в магазин;0.8570499132523689;0.8548645402375551
Дельта СR пришедших к КГ;0.0021853730148138073;
Значимость пришедших уникальных гостей;0.0;
CR купивших в категории;0.1673728813559322;0.16895769384759107
Дельта CR (купивших в категории) к КГ;-0.0015848124916588713;
Значимость купивших из категории;0.0;
CR купивших из набора plu;0.0018684105164820499;0.0006005605231549446
Дельта CR (купивших из списка plu) конверсии к КГ;0.0012678499933271052;
Значимость купивших из набора plu;1.0;
Значимость РТО(чек);0.0;
Эффект РТО(чек) на гостя, руб.;9.81497346128085;
Эффект РТО(чек) на группу, руб.;586769.0;
Эффект РТО(чек) на группу / РТО(чек) группы;0.00636413676682527;
Значимость РТО(категория);0.0;
Эффект РТО(категория) на гостя, руб.;0.23673953790972557;
Эффект РТО(категория) на группу, руб.;14153.0;
Эффект РТО(категория) на группу / РТО(категория) группы;0.0181040603686308;
Значимость РТО(набор plu);1.0;
Эффект РТО(набор plu) на гостя, руб.;0.12313821851048078;
Эффект РТО(набор plu) на группу, руб.;7362.0;
Эффект РТО(набор plu) на группу / РТО(набор plu) группы;0.6663920959850826;
Значимость ФМ(чек);0.0;
Эффект ФМ(чек) на гостя, руб.;2.8117561937869207;
Эффект ФМ(чек) на группу, руб.;168095.0;
Эффект ФМ(чек) на группу / ФМ(чек) группы;0.00689669508923016;
Значимость ФМ(категория);0.0;
Эффект ФМ(категория) на гостя, руб.;0.11696097844077757;
Эффект ФМ(категория) на группу, руб.;6992.0;
Эффект ФМ(категория) на группу / ФМ(категория) группы;0.018176427549505873;
Значимость ФМ(набор plu);1.0;
Эффект ФМ(набор plu) на гостя, руб.;0.05796264990865953;
Эффект ФМ(набор plu) на группу, руб.;3465.0;
Эффект ФМ(набор plu) на группу / ФМ(набор plu) группы;0.6535676494387618;
Значимость ФМ - коммуникация(чек);0.0;
Эффект ФМ - коммуникация(чек) на гостя, руб.;1.4639616612274868;
Эффект ФМ - коммуникация(чек) на группу, руб.;87520.0;
Эффект ФМ - коммуникация(чек) на группу / ФМ - коммуникация(чек) группы;0.0036027619341064067;
Значимость ФМ - коммуникация(категория);1.0;
Эффект ФМ - коммуникация(категория) на гостя, руб.;-1.2308335541186448;
Эффект ФМ - коммуникация(категория) на группу, руб.;-73583.0;
Эффект ФМ - коммуникация(категория) на группу / ФМ - коммуникация(категория) группы;-0.24214528420882644;
Значимость ФМ - коммуникация(набор plu);1.0;
