;0_80359_sms_viber_tg;0_80380_sms_viber_cg
Размер выборки, чел.;254819;46232
Затраты на коммуникацию и на баллы (сумма delta с учетом redemption), руб.;6220.629000006418;-59869.22399999999
Затраты на коммуникацию, руб./гость;1.3585445355330907;0.0
Затраты на коммуникацию, руб.;346182.96000000666;0.0
Софинансирование, руб./гость;1.452878317550889;0.0
Софинансирование, руб.;370221.0;0.0
Покупка предложения(чек), товаров (шт);5873463.893999997;1117576.0569999993
Покупка предложения(категория), товаров (шт);639283.0;118331.0
Покупка предложения(набор plu), товаров (шт);1896.0;221.0
Гостей, купившие что-нибудь;215477;39223
Гостей, купившие в категории;77681;14086
Гостей, купившие в наборе plu;475;55
РТО(чек), руб.;328139854.12999994;63273162.1
РТО(категория), руб.;11513790.240000015;2149299.6999999993
РТО(набор plu), руб.;20363.499999999985;2394.9700000000003
Баллов начислено за период, руб.;2868799.6999999997;550049.7000000001
Баллов списано за период, руб.;3259561.0000000005;618864.9000000001
ЭБ начислено за период, руб.;1332262.5999999996;253360.20000000004
ЭБ списано за период, руб.;351536.7000000001;67993.1
Сумма delta баллов с учетом redemption, руб.;-339962.33100000024;-59869.22399999999
Сумма delta ЭБ с учетом redemption, руб.;853231.5330000002;161269.3769999999
CR коммуникация;0.968585545033926;
СR пришли в магазин;0.8456080590536812;0.8483950510468939
Дельта СR пришедших к КГ;-0.0027869919932127507;
Значимость пришедших уникальных гостей;1.0;
CR купивших в категории;0.3048477546807734;0.30468074061256273
Дельта CR (купивших в категории) к КГ;0.0001670140682106802;
Значимость купивших из категории;0.0;
CR купивших из набора plu;0.0018640682209725334;0.0011896521889600278
Дельта CR (купивших из списка plu) конверсии к КГ;0.0006744160320125057;
Значимость купивших из набора plu;1.0;
Значимость РТО(чек);1.0;
Эффект РТО(чек) на гостя, руб.;-75.75374711704676;
Эффект РТО(чек) на группу, руб.;-19246679.0;
Эффект РТО(чек) на группу / РТО(чек) группы;-0.05865389027806113;
Значимость РТО(категория);1.0;
Эффект РТО(категория) на гостя, руб.;-1.2511515006751874;
Эффект РТО(категория) на группу, руб.;-317879.0;
Эффект РТО(категория) на группу / РТО(категория) группы;-0.027608545350744515;
Значимость РТО(набор plu);1.0;
Эффект РТО(набор plu) на гостя, руб.;0.028792321056344043;
Эффект РТО(набор plu) на группу, руб.;7315.0;
Эффект РТО(набор plu) на группу / РТО(набор plu) группы;0.3592211554988094;
Значимость ФМ(чек);1.0;
Эффект ФМ(чек) на гостя, руб.;-22.507364699616396;
Эффект ФМ(чек) на группу, руб.;-5718424.0;
Эффект ФМ(чек) на группу / ФМ(чек) группы;-0.07309445404777504;
Значимость ФМ(категория);0.0;
Эффект ФМ(категория) на гостя, руб.;-0.13106695674862534;
Эффект ФМ(категория) на группу, руб.;-33300.0;
Эффект ФМ(категория) на группу / ФМ(категория) группы;-0.11515826913317473;
Значимость ФМ(набор plu);1.0;
Эффект ФМ(набор plu) на гостя, руб.;0.0050266214917032955;
Эффект ФМ(набор plu) на группу, руб.;1277.0;
Эффект ФМ(набор plu) на группу / ФМ(набор plu) группы;0.3354038898446428;
Значимость ФМ - коммуникация(чек);1.0;
Эффект ФМ - коммуникация(чек) на гостя, руб.;-23.865917841322002;
Эффект ФМ - коммуникация(чек) на группу, руб.;-6063590.0;
Эффект ФМ - коммуникация(чек) на группу / ФМ - коммуникация(чек) группы;-0.0778509507720644;
Значимость ФМ - коммуникация(категория);1.0;
Эффект ФМ - коммуникация(категория) на гостя, руб.;-1.4896200984542247;
Эффект ФМ - коммуникация(категория) на группу, руб.;-378466.0;
Эффект ФМ - коммуникация(категория) на группу / ФМ - коммуникация(категория) группы;-6.637924880703876;
Значимость ФМ - коммуникация(набор plu);1.0;
Эффект ФМ - коммуникация(набор plu) на гостя, руб.;-1.353526520213896;
Эффект ФМ - коммуникация(набор plu) на группу, руб.;-343889.0;
Эффект ФМ - коммуникация(набор plu) на группу / ФМ - коммуникация(набор plu) группы;-1.0044202622961185;
Значимость КМ(чек);1.0;
Эффект КМ(чек) на гостя, руб.;-22.410396225276653;
Эффект КМ(чек) на группу, руб.;-5693787.0;
