;1_80401_sms_viber_cg;0_80401_sms_viber_cg
Размер выборки, чел.;16000;64997
Затраты на коммуникацию и на баллы (сумма delta с учетом redemption), руб.;-8605.170000000004;29222.66699999974
Затраты на коммуникацию, руб./гость;0.0;1.3627395110543525
Затраты на коммуникацию, руб.;0.0;88573.97999999975
Софинансирование, руб./гость;0.0;1.3868947797590658
Софинансирование, руб.;0.0;90144.0
Покупка предложения(чек), товаров (шт);408772.75299999997;1644172.3340000005
Покупка предложения(категория), товаров (шт);43819.0;177917.0
Покупка предложения(набор plu), товаров (шт);31.0;337.0
Гостей, купившие что-нибудь;13813;55912
Гостей, купившие в категории;4997;20391
Гостей, купившие в наборе plu;9;97
РТО(чек), руб.;24909634.83999999;100091630.14
РТО(категория), руб.;895593.9900000003;3585945.419999998
РТО(набор plu), руб.;303.40000000000003;3767.039999999999
Баллов начислено за период, руб.;228174.30000000008;917746.9000000006
Баллов списано за период, руб.;238065.30000000002;985966.7999999999
ЭБ начислено за период, руб.;13731.200000000003;61291.49999999995
ЭБ списано за период, руб.;9671.8;38777.999999999985
Сумма delta баллов с учетом redemption, руб.;-8605.170000000004;-59351.31300000001
Сумма delta ЭБ с учетом redemption, руб.;3531.677999999998;19586.745
CR коммуникация;;0.9245965198393772
СR пришли в магазин;0.8633125;0.8602243180454483
Дельта СR пришедших к КГ;;-0.0030881819545517386
Значимость пришедших уникальных гостей;;0.0
CR купивших в категории;0.3123125;0.31372217179254425
Дельта CR (купивших в категории) к КГ;;0.0014096717925442537
Значимость купивших из категории;;0.0
CR купивших из набора plu;0.0005625;0.0014923765712263643
Дельта CR (купивших из списка plu) конверсии к КГ;;0.0009298765712263643
Значимость купивших из набора plu;;1.0
Значимость РТО(чек);;0.0
Эффект РТО(чек) на гостя, руб.;;-13.420346205286481
Эффект РТО(чек) на группу, руб.;;-870081.0
Эффект РТО(чек) на группу / РТО(чек) группы;;-0.00869284473420007
Значимость РТО(категория);;0.0
Эффект РТО(категория) на гостя, руб.;;-0.6034237336282845
Эффект РТО(категория) на группу, руб.;;-39122.0
Эффект РТО(категория) на группу / РТО(категория) группы;;-0.010909814684240236
Значимость РТО(набор plu);;1.0
Эффект РТО(набор plu) на гостя, руб.;;0.03918442854808897
Эффект РТО(набор plu) на группу, руб.;;2540.0
Эффект РТО(набор plu) на группу / РТО(набор plu) группы;;0.6742694529391778
Значимость ФМ(чек);;0.0
Эффект ФМ(чек) на гостя, руб.;;-4.340925744185126
Эффект ФМ(чек) на группу, руб.;;-281435.0
Эффект ФМ(чек) на группу / ФМ(чек) группы;;-0.010897774032335395
Значимость ФМ(категория);;0.0
Эффект ФМ(категория) на гостя, руб.;;-0.11200720795977546
Эффект ФМ(категория) на группу, руб.;;-7262.0
Эффект ФМ(категория) на группу / ФМ(категория) группы;;-0.1350982299192538
Значимость ФМ(набор plu);;1.0
Эффект ФМ(набор plu) на гостя, руб.;;0.010584877477154449
Эффект ФМ(набор plu) на группу, руб.;;686.0
Эффект ФМ(набор plu) на группу / ФМ(набор plu) группы;;0.8320496804007425
Значимость ФМ - коммуникация(чек);;0.0
Эффект ФМ - коммуникация(чек) на гостя, руб.;;-5.70366338612674
Эффект ФМ - коммуникация(чек) на группу, руб.;;-369786.0
Эффект ФМ - коммуникация(чек) на группу / ФМ - коммуникация(чек) группы;;-0.014368196216469812
Значимость ФМ - коммуникация(категория);;1.0
Эффект ФМ - коммуникация(категория) на гостя, руб.;;-1.4747448499013787
Эффект ФМ - коммуникация(категория) на группу, руб.;;-95612.0
Эффект ФМ - коммуникация(категория) на группу / ФМ - коммуникация(категория) группы;;-2.7458537355868002
Значимость ФМ - коммуникация(набор plu);;1.0
Эффект ФМ - коммуникация(набор plu) на гостя, руб.;;-1.352152764464449
Эффект ФМ - коммуникация(набор plu) на группу, руб.;;-87664.0
Эффект ФМ - коммуникация(набор plu) на группу / ФМ - коммуникация(набор plu) группы;;-0.9990255216239984
Значимость КМ(чек);;0.0
Эффект КМ(чек) на гостя, руб.;;-3.9186287319896693
Эффект КМ(чек) на группу, руб.;;-254056.0
Эффект КМ(чек) на группу / КМ(чек) группы;;-0.009815042682883874
Значимость КМ(категория);;0.0
Эффект КМ(категория) на гостя, руб.;;0.3102898042356789
Эффект КМ(категория) на группу, руб.;;20117.0
Эффект КМ(категория) на группу / КМ(категория) группы;;0.17786160485701089
Значимость КМ(набор plu);;0.0
Эффект КМ(набор plu) на гостя, руб.;;0.4328818896726089
Эффект КМ(набор plu) на группу, руб.;;28065.0
Эффект КМ(набор plu) на группу / КМ(набор plu) группы;;0.46638362811166056
Значимость Ebitda без учета софинансирования(чек);;0.0
Эффект Ebitda без учета софинансирования(чек) на гостя, руб.;;-5.281366373931284
Эффект Ebitda без учета софинансирования(чек) на группу, руб.;;-342407.0
Эффект Ebitda без учета софинансирования(чек) на группу / Ebitda без учета софинансирования(чек) группы;;-0.013273762333315401
Значимость Ebitda без учета софинансирования(категория);;1.0
Эффект Ebitda без учета софинансирования(категория) на гостя, руб.;;-1.0524478377059245
Эффект Ebitda без учета софинансирования(категория) на группу, руб.;;-68233.0
Эффект Ebitda без учета софинансирования(категория) на группу / Ebitda без учета софинансирования(категория) группы;;-2.7815221615362016
Значимость Ebitda без учета софинансирования(набор plu);;1.0
Эффект Ebitda без учета софинансирования(набор plu) на гостя, руб.;;-0.9298557522689946
Эффект Ebitda без учета софинансирования(набор plu) на группу, руб.;;-60285.0
Эффект Ebitda без учета софинансирования(набор plu) на группу / Ebitda без учета софинансирования(набор plu) группы;;-2.1228460384298287
Значимость Ebitda софинансирование(чек);;0.0
Эффект Ebitda софинансирование(чек) на гостя, руб.;;-3.8943920090245236
Эффект Ebitda софинансирование(чек) на группу, руб.;;-252485.0
Эффект Ebitda софинансирование(чек) на группу / Ebitda софинансирование(чек) группы;;-0.009753758022631663
Значимость Ebitda софинансирование(категория);;0.0
Эффект Ebitda софинансирование(категория) на гостя, руб.;;0.3345265272008359
Эффект Ebitda софинансирование(категория) на группу, руб.;;21688.0
Эффект Ebitda софинансирование(категория) на группу / Ebitda софинансирование(категория) группы;;0.18912609868393698
Значимость Ebitda софинансирование(набор plu);;0.0
Эффект Ebitda софинансирование(набор plu) на гостя, руб.;;0.45711861263776593
Эффект Ebitda софинансирование(набор plu) на группу, руб.;;29636.0
Эффект Ebitda софинансирование(набор plu) на группу / Ebitda софинансирование(набор plu) группы;;0.47996784494000433
meta_post_analysis;{'spark': <pyspark.sql.session.SparkSession object at 0x7f3dcc609150>, 'date_from': '2022-01-21', 'date_to': '2022-01-27', 'control_camp_wave_id': 80401, 'slip_check_date_from': '', 'slip_check_date_to': '', 'plu_list': ['4125613', '4125614'], 'synthetic_catalog_ids': [63], 'threshold_price': None, 'threshold_item_condition': 'plu_list', 'count_for_plu_list': 2, 'rto_for_plu_list': None, 'is_keep_only_first_buy_for_plu_list': False, 'metrics_for_stat_test': ['num_unique_visits', 'num_visits', 'rto_novat', 'front_margin_novat', 'front_margin_novat_wo_comm', 'commercial_front_margin_novat', 'ebitda', 'supplier_fin_ebitda'], 'stat_test': StatTestParams(boot_iter=1000, test_name='ttest', cutoff_prob=0.5, significant_level=0.05, include_cutoff_prob_for_significance=False, fraud_filter={'max_rto_per_week': 20000.0, 'max_nchecks_per_week': 30.0, 'min_fm_share_in_rto': -0.5}), '__initialised__': True};{'spark': <pyspark.sql.session.SparkSession object at 0x7f3dcc609150>, 'date_from': '2022-01-21', 'date_to': '2022-01-27', 'control_camp_wave_id': 80401, 'slip_check_date_from': '', 'slip_check_date_to': '', 'plu_list': ['4125613', '4125614'], 'synthetic_catalog_ids': [63], 'threshold_price': None, 'threshold_item_condition': 'plu_list', 'count_for_plu_list': 2, 'rto_for_plu_list': None, 'is_keep_only_first_buy_for_plu_list': False, 'metrics_for_stat_test': ['num_unique_visits', 'num_visits', 'rto_novat', 'front_margin_novat', 'front_margin_novat_wo_comm', 'commercial_front_margin_novat', 'ebitda', 'supplier_fin_ebitda'], 'stat_test': StatTestParams(boot_iter=1000, test_name='ttest', cutoff_prob=0.5, significant_level=0.05, include_cutoff_prob_for_significance=False, fraud_filter={'max_rto_per_week': 20000.0, 'max_nchecks_per_week': 30.0, 'min_fm_share_in_rto': -0.5}), '__initialised__': True}
meta_experiment_params;{'map_camp_wave_ids_to_suffixes': {80401: 'sms_viber_cg'}, 'date_communication_from': '2022-01-21', 'date_communication_to': '2022-01-27', 'wave_ids': [80512], 'communication_costs': {'sms': 1.38, 'viber': 1.32, 'email': 0.0083}, '__initialised__': True};{'map_camp_wave_ids_to_suffixes': {80401: 'sms_viber_cg'}, 'date_communication_from': '2022-01-21', 'date_communication_to': '2022-01-27', 'wave_ids': [80512], 'communication_costs': {'sms': 1.38, 'viber': 1.32, 'email': 0.0083}, '__initialised__': True}
