;0_80410_sms_viber_cg;1_80410_sms_viber_cg
total_group_size;64992;16000
supplier_fin;90040.5;0.0
supplier_fin / total_group_size;1.3854089734121122;0.0
total_communications;60027;0
sms_costs;64266.59999999984;0.0
viber_costs;24299.879999999943;0.0
email_costs;0.0;0.0
communication_costs;88566.47999999975;0.0
communication_costs / total_group_size;1.3627289512555352;0.0
communication_costs + points_delta_with_redemption;46001.55599999972;-19905.513000000003
accrued_points;918732.9000000004;224694.79999999996
spent_points;967658.1000000004;247574.7
accrued_exp_points;62313.80000000001;15326.600000000004
spent_exp_points;40475.00000000001;10465.1
points_delta_with_redemption;-42564.92400000003;-19905.513000000003
exp_points_delta_with_redemption;18999.755999999998;4229.5049999999965
num_visits;184072;45213
num_unique_visits;56218;13846
rto_novat;100793348.92000002;24942829.059999995
quantity;1661415.5480000007;407116.67499999976
front_margin_novat;25978651.850000016;6468308.500000003
front_margin_novat_wo_comm;25890085.36999998;6468308.500000003
commercial_front_margin_novat;26021216.774000008;6488214.013000001
ebitda;25932650.293999996;6488214.013000001
supplier_fin_ebitda;26022690.793999996;6488214.013000001
categories_items_num_visits;31402;7771
categories_items_num_unique_visits;20636;5079
categories_items_rto_novat;3692643.179999997;881350.3099999998
categories_items_quantity;183048.0;43660.0
categories_items_front_margin_novat;72136.80999999997;12584.18999999998
categories_items_front_margin_novat_wo_comm;-16429.66999999996;12584.18999999998
categories_items_commercial_front_margin_novat;114701.73399999998;32489.702999999994
categories_items_ebitda;26135.25399999988;32489.702999999994
categories_items_supplier_fin_ebitda;116175.75399999984;32489.702999999994
experiment_items_num_visits;92;12
experiment_items_num_unique_visits;69;12
experiment_items_rto_novat;2335.810000000001;400.74
experiment_items_quantity;222.0;32.0
experiment_items_front_margin_novat;397.5899999999998;121.32999999999998
experiment_items_front_margin_novat_wo_comm;-88168.88999999971;121.32999999999998
experiment_items_commercial_front_margin_novat;42962.51400000005;20026.843
experiment_items_ebitda;-45603.96600000008;20026.843
experiment_items_supplier_fin_ebitda;44436.53399999992;20026.843
mean_effect_categories_items_num_unique_visits;-8.193363412725823e-05;
effect_left_bound_categories_items_num_unique_visits;-0.006928903164504149;
effect_right_bound_categories_items_num_unique_visits;0.006711202379822283;
mean_effect_categories_items_num_unique_visits * total_group_size;-5.0;
control_metric_means_categories_items_num_unique_visits;0.3172902174594222;
target_metric_mean_categories_items_num_unique_visits;0.3174380407458244;
metric_pvalue_categories_items_num_unique_visits;0.47165;
metric_significance_categories_items_num_unique_visits;0.0;
mean_effect_categories_items_num_unique_visits * total_group_size / categories_items_num_unique_visits;-0.0002422950184144214;
mean_effect_categories_items_num_visits;-0.0019651205761796577;
effect_left_bound_categories_items_num_visits;-0.01576682565807832;
effect_right_bound_categories_items_num_visits;0.01130505084019537;
mean_effect_categories_items_num_visits * total_group_size;-127.0;
control_metric_means_categories_items_num_visits;0.4846775709719872;
target_metric_mean_categories_items_num_visits;0.48285806819759103;
metric_pvalue_categories_items_num_visits;0.45675;
metric_significance_categories_items_num_visits;0.0;
mean_effect_categories_items_num_visits * total_group_size / categories_items_num_visits;-0.00404432838672696;
mean_effect_categories_items_rto_novat;1.7792781886864146;
effect_left_bound_categories_items_rto_novat;-0.3324072326798404;
effect_right_bound_categories_items_rto_novat;3.816723219327746;
mean_effect_categories_items_rto_novat * total_group_size;115370.0;
control_metric_means_categories_items_rto_novat;54.94808359967413;
target_metric_mean_categories_items_rto_novat;56.76255239740288;
metric_pvalue_categories_items_rto_novat;0.14755000000000001;
metric_significance_categories_items_rto_novat;0.0;
mean_effect_categories_items_rto_novat * total_group_size / categories_items_rto_novat;0.031243202870199903;
mean_effect_categories_items_front_margin_novat;0.3197659767503143;
effect_left_bound_categories_items_front_margin_novat;0.058720894162674536;
effect_right_bound_categories_items_front_margin_novat;0.5854512380880165;
mean_effect_categories_items_front_margin_novat * total_group_size;20734.0;
control_metric_means_categories_items_front_margin_novat;0.8030964467005067;
target_metric_mean_categories_items_front_margin_novat;1.1225022747952673;
metric_pvalue_categories_items_front_margin_novat;0.051750000000000004;
metric_significance_categories_items_front_margin_novat;1.0;
mean_effect_categories_items_front_margin_novat * total_group_size / categories_items_front_margin_novat;0.2874260727636835;
mean_effect_categories_items_front_margin_novat_wo_comm;-1.0429528443659541;
effect_left_bound_categories_items_front_margin_novat_wo_comm;-1.3041484169213615;
effect_right_bound_categories_items_front_margin_novat_wo_comm;-0.7773787922939944;
mean_effect_categories_items_front_margin_novat_wo_comm * total_group_size;-67626.0;
control_metric_means_categories_items_front_margin_novat_wo_comm;0.8030964467005067;
target_metric_mean_categories_items_front_margin_novat_wo_comm;-0.24022254437778606;
metric_pvalue_categories_items_front_margin_novat_wo_comm;0.0;
metric_significance_categories_items_front_margin_novat_wo_comm;1.0;
mean_effect_categories_items_front_margin_novat_wo_comm * total_group_size / categories_items_front_margin_novat_wo_comm;-4.116089976244208;
mean_effect_categories_items_commercial_front_margin_novat;-0.20754558495409287;
effect_left_bound_categories_items_commercial_front_margin_novat;-1.0370823533160618;
effect_right_bound_categories_items_commercial_front_margin_novat;0.5717409862609365;
mean_effect_categories_items_commercial_front_margin_novat * total_group_size;-13457.0;
control_metric_means_categories_items_commercial_front_margin_novat;1.8487211881932686;
target_metric_mean_categories_items_commercial_front_margin_novat;1.620246233093258;
metric_pvalue_categories_items_commercial_front_margin_novat;0.4605;
metric_significance_categories_items_commercial_front_margin_novat;0.0;
mean_effect_categories_items_commercial_front_margin_novat * total_group_size / categories_items_commercial_front_margin_novat;-0.1173216788509928;
mean_effect_categories_items_ebitda;-1.5702644060703614;
effect_left_bound_categories_items_ebitda;-2.399653242105562;
effect_right_bound_categories_items_ebitda;-0.7909955847358089;
mean_effect_categories_items_ebitda * total_group_size;-101818.0;
control_metric_means_categories_items_ebitda;1.8487211881932686;
target_metric_mean_categories_items_ebitda;0.2575214139202043;
metric_pvalue_categories_items_ebitda;0.00115;
metric_significance_categories_items_ebitda;1.0;
mean_effect_categories_items_ebitda * total_group_size / categories_items_ebitda;-3.895810616571795;
mean_effect_categories_items_supplier_fin_ebitda;-0.18474148847192834;
effect_left_bound_categories_items_supplier_fin_ebitda;-1.0145562355819115;
