;0_79909_sms_viber_cg;1_79909_sms_viber_cg
Размер выборки, чел.;94437;40603
Затраты на коммуникацию и на баллы (сумма delta с учетом redemption), руб.;150141.60600000218;20928.893999999997
Затраты на коммуникацию, руб./гость;1.3581308173703335;0.0
Затраты на коммуникацию, руб.;128257.80000000219;0.0
Софинансирование, руб./гость;1.4667556148543472;0.0
Софинансирование, руб.;138516.0;0.0
Покупка предложения(чек), товаров (шт);3355227.599999999;1455599.6270000003
Покупка предложения(категория), товаров (шт);69027.0;29475.0
Покупка предложения(набор plu), товаров (шт);24334.0;9594.0
Гостей, купившие что-нибудь;86619;37304
Гостей, купившие в категории;23260;10058
Гостей, купившие в наборе plu;3370;1298
РТО(чек), руб.;222126317.84;96336174.74999994
РТО(категория), руб.;2532632.0200000033;1103629.9600000004
РТО(набор plu), руб.;440555.7899999999;173323.03999999998
Баллов начислено за период, руб.;2124786.0000000005;920036.1999999997
Баллов списано за период, руб.;2099632.2;895980.0000000001
ЭБ начислено за период, руб.;775785.8999999999;315531.0
ЭБ списано за период, руб.;225962.4;94082.89999999998
Сумма delta баллов с учетом redemption, руб.;21883.805999999997;20928.893999999997
Сумма delta ЭБ с учетом redemption, руб.;478346.4450000002;192659.84699999992
CR коммуникация;0.9778370765695649;
СR пришли в магазин;0.9172146510371995;0.9187498460704874
Дельта СR пришедших к КГ;-0.0015351950332879172;
Значимость пришедших уникальных гостей;0.0;
CR купивших в категории;0.24630176731577666;0.24771568603305175
Дельта CR (купивших в категории) к КГ;-0.0014139187172750867;
Значимость купивших из категории;0.0;
CR купивших из набора plu;0.03568516577189026;0.03196808117626777
Дельта CR (купивших из списка plu) конверсии к КГ;0.0037170845956224913;
Значимость купивших из набора plu;1.0;
Значимость РТО(чек);0.0;
Эффект РТО(чек) на гостя, руб.;-15.507268792210695;
Эффект РТО(чек) на группу, руб.;-1461436.0;
Эффект РТО(чек) на группу / РТО(чек) группы;-0.006579301427274764;
Значимость РТО(категория);0.0;
Эффект РТО(категория) на гостя, руб.;-0.3064785291075641;
Эффект РТО(категория) на группу, руб.;-28883.0;
Эффект РТО(категория) на группу / РТО(категория) группы;-0.011404341322352848;
Значимость РТО(набор plu);1.0;
Эффект РТО(набор plu) на гостя, руб.;0.3881575248861674;
Эффект РТО(набор plu) на группу, руб.;36581.0;
Эффект РТО(набор plu) на группу / РТО(набор plu) группы;0.0830337515255446;
Значимость ФМ(чек);0.0;
Эффект ФМ(чек) на гостя, руб.;-4.26091368363754;
Эффект ФМ(чек) на группу, руб.;-401557.0;
Эффект ФМ(чек) на группу / ФМ(чек) группы;-0.006814522983521825;
Значимость ФМ(категория);0.0;
Эффект ФМ(категория) на гостя, руб.;-0.027517664162032666;
Эффект ФМ(категория) на группу, руб.;-2593.0;
Эффект ФМ(категория) на группу / ФМ(категория) группы;-0.004072329407443403;
Значимость ФМ(набор plu);1.0;
Эффект ФМ(набор plu) на гостя, руб.;0.09565859959827966;
Эффект ФМ(набор plu) на группу, руб.;9015.0;
Эффект ФМ(набор plu) на группу / ФМ(набор plu) группы;0.09499491147612289;
Значимость ФМ - коммуникация(чек);0.0;
Эффект ФМ - коммуникация(чек) на гостя, руб.;-5.6190393040615545;
Эффект ФМ - коммуникация(чек) на группу, руб.;-529550.0;
Эффект ФМ - коммуникация(чек) на группу / ФМ - коммуникация(чек) группы;-0.00900619888429184;
Значимость ФМ - коммуникация(категория);1.0;
Эффект ФМ - коммуникация(категория) на гостя, руб.;-1.3856432845860465;
Эффект ФМ - коммуникация(категория) на группу, руб.;-130586.0;
Эффект ФМ - коммуникация(категория) на группу / ФМ - коммуникация(категория) группы;-0.2568171465102839;
Значимость ФМ - коммуникация(набор plu);1.0;
Эффект ФМ - коммуникация(набор plu) на гостя, руб.;-1.262467020825735;
Эффект ФМ - коммуникация(набор plu) на группу, руб.;-118977.0;
Эффект ФМ - коммуникация(набор plu) на группу / ФМ - коммуникация(набор plu) группы;-3.5666728021301335;
Значимость КМ(чек);0.0;
Эффект КМ(чек) на гостя, руб.;-4.049896133392546;
Эффект КМ(чек) на группу, руб.;-381670.0;
Эффект КМ(чек) на группу / КМ(чек) группы;-0.006479441900855808;
Значимость КМ(категория);0.0;
Эффект КМ(категория) на гостя, руб.;0.18349988608296008;
Эффект КМ(категория) на группу, руб.;17293.0;
Эффект КМ(категория) на группу / КМ(категория) группы;0.02812544453750815;
Значимость КМ(набор plu);0.0;
Эффект КМ(набор plu) на гостя, руб.;0.30667614984327224;
Эффект КМ(набор plu) на группу, руб.;28902.0;
Эффект КМ(набор plu) на группу / КМ(набор plu) группы;0.395830974832452;
Значимость Ebitda без учета софинансирования(чек);0.0;
Эффект Ebitda без учета софинансирования(чек) на гостя, руб.;-5.408021753816567;
Эффект Ebitda без учета софинансирования(чек) на группу, руб.;-509663.0;
Эффект Ebitda без учета софинансирования(чек) на группу / Ebitda без учета софинансирования(чек) группы;-0.008671202622041551;
Значимость Ebitda без учета софинансирования(категория);1.0;
Эффект Ebitda без учета софинансирования(категория) на гостя, руб.;-1.1746257343410544;
Эффект Ebitda без учета софинансирования(категория) на группу, руб.;-110699.0;
Эффект Ebitda без учета софинансирования(категория) на группу / Ebitda без учета софинансирования(категория) группы;-0.2274973383187501;
Значимость Ebitda без учета софинансирования(набор plu);1.0;
Эффект Ebitda без учета софинансирования(набор plu) на гостя, руб.;-1.051449470580742;
Эффект Ebitda без учета софинансирования(набор plu) на группу, руб.;-99091.0;
Эффект Ebitda без учета софинансирования(набор plu) на группу / Ebitda без учета софинансирования(набор plu) группы;-1.7937689415038003;
Значимость Ebitda софинансирование(чек);0.0;
Эффект Ebitda софинансирование(чек) на гостя, руб.;-3.9412886889410355;
Эффект Ebitda софинансирование(чек) на группу, руб.;-371435.0;
Эффект Ebitda софинансирование(чек) на группу / Ebitda софинансирование(чек) группы;-0.006304588919071685;
Значимость Ebitda софинансирование(категория);0.0;
Эффект Ebitda софинансирование(категория) на гостя, руб.;0.292107330534479;
Эффект Ebitda софинансирование(категория) на группу, руб.;27529.0;
Эффект Ebitda софинансирование(категория) на группу / Ebitda софинансирование(категория) группы;0.04403859960139155;
Значимость Ebitda софинансирование(набор plu);0.0;
Эффект Ebitda софинансирование(набор plu) на гостя, руб.;0.4152835942947911;
Эффект Ebitda софинансирование(набор plu) на группу, руб.;39137.0;
Эффект Ebitda софинансирование(набор plu) на группу / Ebitda софинансирование(набор plu) группы;0.46997741701891166;
