;0_79909_sms_viber_cg;1_79909_sms_viber_cg
total_group_size;94437;40603
supplier_fin;138516.0;0.0
supplier_fin / total_group_size;1.4667556148543472;0.0
total_communications;92344;0
sms_costs;86009.88;0.0
viber_costs;42247.91999999986;0.0
email_costs;0.0;0.0
communication_costs;128257.80000000219;0.0
communication_costs / total_group_size;1.3581308173703335;0.0
communication_costs + points_delta_with_redemption;150141.60600000218;20928.893999999997
accrued_points;2124786.0000000005;920036.1999999997
spent_points;2099632.2;895980.0000000001
accrued_exp_points;775785.8999999999;315531.0
spent_exp_points;225962.4;94082.89999999998
points_delta_with_redemption;21883.805999999997;20928.893999999997
exp_points_delta_with_redemption;478346.4450000002;192659.84699999992
num_visits;326663;141118
num_unique_visits;86619;37304
rto_novat;222126317.84;96336174.74999994
quantity;3355227.599999999;1455599.6270000003
front_margin_novat;58926648.419999994;25556506.84999999
front_margin_novat_wo_comm;58798390.62000003;25556506.84999999
commercial_front_margin_novat;58904764.613999985;25535577.955999997
ebitda;58776506.81400001;25535577.955999997
supplier_fin_ebitda;58915022.81400001;25535577.955999997
categories_items_num_visits;31638;13805
categories_items_num_unique_visits;23260;10058
categories_items_rto_novat;2532632.0200000033;1103629.9600000004
categories_items_quantity;69027.0;29475.0
categories_items_front_margin_novat;636736.3100000002;275191.2300000001
categories_items_front_margin_novat_wo_comm;508478.5099999966;275191.2300000001
categories_items_commercial_front_margin_novat;614852.5039999997;254262.33600000013
categories_items_ebitda;486594.70399999974;254262.33600000013
categories_items_supplier_fin_ebitda;625110.7040000001;254262.33600000013
experiment_items_num_visits;3930;1528
experiment_items_num_unique_visits;3370;1298
experiment_items_rto_novat;440555.7899999999;173323.03999999998
experiment_items_quantity;24334.0;9594.0
experiment_items_front_margin_novat;94899.82000000004;36826.84000000003
experiment_items_front_margin_novat_wo_comm;-33357.979999999734;36826.84000000003
experiment_items_commercial_front_margin_novat;73016.0140000001;15897.946000000007
experiment_items_ebitda;-55241.786000000306;15897.946000000007
experiment_items_supplier_fin_ebitda;83274.2139999998;15897.946000000007
mean_effect_categories_items_num_unique_visits;-0.0012646671920208674;
effect_left_bound_categories_items_num_unique_visits;-0.00562665474674125;
