;0_79946_sms_viber_tg;0_79909_sms_viber_cg;1_79909_sms_viber_cg
Размер выборки, чел.;94118;94437;40603
Затраты на коммуникацию и на баллы (сумма delta с учетом redemption), руб.;118546.31100000217;21883.806000000008;20928.894000000022
Затраты на коммуникацию, руб./гость;1.3584270808984693;0.0;0.0
Затраты на коммуникацию, руб.;127852.44000000214;0.0;0.0
Софинансирование, руб./гость;1.465607003973735;0.0;0.0
Софинансирование, руб.;137940.0;0.0;0.0
Покупка предложения(чек), товаров (шт);3378798.9459999995;3355227.6;1455599.6270000003
Покупка предложения(категория), товаров (шт);69966.0;69027.0;29475.0
Покупка предложения(набор plu), товаров (шт);21408.0;21086.0;8427.0
Гостей, купившие что-нибудь;86560;86619;37304
Гостей, купившие в категории;23548;23260;10058
Гостей, купившие в наборе plu;2698;2653;1041
РТО(чек), руб.;223813994.0200001;222126317.8399999;96336174.74999996
РТО(категория), руб.;2579433.080000004;2532632.0200000023;1103629.9600000007
РТО(набор plu), руб.;387176.62;381795.97999999986;152214.29000000015
Баллов начислено за период, руб.;2131249.8999999985;2124786.0;920036.1999999996
Баллов списано за период, руб.;2141946.6;2099632.2000000007;895979.9999999995
ЭБ начислено за период, руб.;801798.1000000002;775785.8999999999;315531.0
ЭБ списано за период, руб.;231575.79999999993;225962.39999999994;94082.90000000001
Сумма delta баллов с учетом redemption, руб.;-9306.128999999972;21883.806000000008;20928.894000000022
Сумма delta ЭБ с учетом redemption, руб.;496093.4010000006;478346.44500000024;192659.84700000004
CR коммуникация;0.9770713359824901;0.0;
СR пришли в магазин;0.9196965511379332;0.9172146510371995;0.9187498460704874
Дельта СR пришедших к КГ;0.0009467050674458743;-0.0015351950332879172;
Значимость пришедших уникальных гостей;0.0;0.0;
CR купивших в категории;0.2501965617628934;0.24630176731577666;0.24771568603305175
Дельта CR (купивших в категории) к КГ;0.002480875729841653;-0.0014139187172750867;
Значимость купивших из категории;0.0;0.0;
CR купивших из набора plu;0.028666142501965617;0.028092802609146837;0.025638499618254807
Дельта CR (купивших из списка plu) конверсии к КГ;0.00302764288371081;0.00245430299089203;
Значимость купивших из набора plu;1.0;1.0;
Значимость РТО(чек);0.0;0.0;
