;0_79946_sms_viber_tg;0_79909_sms_viber_cg;1_79909_sms_viber_cg
total_group_size;94118;94437;40603
supplier_fin;137940.0;0.0;0.0
supplier_fin / total_group_size;1.465607003973735;0.0;0.0
total_communications;91960;0;0
sms_costs;85642.79999999993;0.0;0.0
viber_costs;42209.639999999854;0.0;0.0
email_costs;0.0;0.0;0.0
communication_costs;127852.44000000214;0.0;0.0
communication_costs / total_group_size;1.3584270808984693;0.0;0.0
communication_costs + points_delta_with_redemption;118546.31100000217;21883.806000000008;20928.894000000022
accrued_points;2131249.8999999985;2124786.0;920036.1999999996
spent_points;2141946.6;2099632.2000000007;895979.9999999995
accrued_exp_points;801798.1000000002;775785.8999999999;315531.0
spent_exp_points;231575.79999999993;225962.39999999994;94082.90000000001
points_delta_with_redemption;-9306.128999999972;21883.806000000008;20928.894000000022
exp_points_delta_with_redemption;496093.4010000006;478346.44500000024;192659.84700000004
num_visits;327648;326663;141118
num_unique_visits;86560;86619;37304
rto_novat;223813994.0200001;222126317.8399999;96336174.74999996
quantity;3378798.9459999995;3355227.6;1455599.6270000003
front_margin_novat;59528195.58;58926648.41999999;25556506.849999987
front_margin_novat_wo_comm;59400343.139999986;58926648.41999999;25556506.849999987
commercial_front_margin_novat;59537501.70899998;58904764.614;25535577.956
ebitda;59409649.26900002;58904764.614;25535577.956
supplier_fin_ebitda;59547589.26900002;58904764.614;25535577.956
categories_items_num_visits;32195;31638;13805
categories_items_num_unique_visits;23548;23260;10058
categories_items_rto_novat;2579433.080000004;2532632.0200000023;1103629.9600000007
categories_items_quantity;69966.0;69027.0;29475.0
categories_items_front_margin_novat;646970.13;636736.3100000003;275191.23
categories_items_front_margin_novat_wo_comm;519117.6899999966;636736.3100000003;275191.23
categories_items_commercial_front_margin_novat;656276.2590000001;614852.5040000002;254262.33600000018
categories_items_ebitda;528423.819;614852.5040000002;254262.33600000018
categories_items_supplier_fin_ebitda;666363.8190000004;614852.5040000002;254262.33600000018
experiment_items_num_visits;3119;3061;1218
experiment_items_num_unique_visits;2698;2653;1041
experiment_items_rto_novat;387176.62;381795.97999999986;152214.29000000015
experiment_items_quantity;21408.0;21086.0;8427.0
experiment_items_front_margin_novat;82936.20000000001;82397.53000000004;32281.949999999997
experiment_items_front_margin_novat_wo_comm;-44916.239999999816;82397.53000000004;32281.949999999997
experiment_items_commercial_front_margin_novat;92242.329;60513.72400000007;11353.056000000002
experiment_items_ebitda;-35610.11100000022;60513.72400000007;11353.056000000002
experiment_items_supplier_fin_ebitda;102329.88899999979;60513.72400000007;11353.056000000002
mean_effect_categories_items_num_unique_visits;0.0026408695895974183;-0.0012646671920208674;
effect_left_bound_categories_items_num_unique_visits;-0.001587687494465767;-0.00562665474674125;
effect_right_bound_categories_items_num_unique_visits;0.007087489625211741;0.0029522432983630576;
mean_effect_categories_items_num_unique_visits * total_group_size;248.0;-119.0;
control_metric_means_categories_items_num_unique_visits;0.2470806073324281;0.2470806073324281;
target_metric_mean_categories_items_num_unique_visits;0.2497310424899607;0.24595191103754166;
metric_pvalue_categories_items_num_unique_visits;0.3043;0.4401;
metric_significance_categories_items_num_unique_visits;0.0;0.0;
mean_effect_categories_items_num_unique_visits * total_group_size / categories_items_num_unique_visits;0.010531679972821471;-0.005116079105760963;
mean_effect_categories_items_num_visits;0.0020978472324025116;-0.004366817516532329;
effect_left_bound_categories_items_num_visits;-0.0052720574470028776;-0.01128923212159399;
effect_right_bound_categories_items_num_visits;0.009007390032136027;0.002577112204424111;
mean_effect_categories_items_num_visits * total_group_size;197.0;-412.0;
control_metric_means_categories_items_num_visits;0.33748919886433776;0.33748919886433776;
target_metric_mean_categories_items_num_visits;0.33966404277755885;0.33339699921478744;
metric_pvalue_categories_items_num_visits;0.42585;0.27265;
metric_significance_categories_items_num_visits;0.0;0.0;
mean_effect_categories_items_num_visits * total_group_size / categories_items_num_visits;0.006118962571827924;-0.013022314937733107;
mean_effect_categories_items_rto_novat;0.24447344583753083;-0.3064785291075641;
effect_left_bound_categories_items_rto_novat;-0.4120374675881523;-0.9547065244048941;
effect_right_bound_categories_items_rto_novat;0.8519675223307227;0.3268296166040274;
mean_effect_categories_items_rto_novat * total_group_size;22951.0;-28883.0;
control_metric_means_categories_items_rto_novat;26.956303419330947;26.956303419330947;
target_metric_mean_categories_items_rto_novat;27.2125812464716;26.667395641009318;
metric_pvalue_categories_items_rto_novat;0.39280000000000004;0.3637;
metric_significance_categories_items_rto_novat;0.0;0.0;
