;1_79931_sms_viber_cg;0_79931_sms_viber_cg
total_group_size;28947;115781
supplier_fin;0.0;159798.0
supplier_fin / total_group_size;0.0;1.3801746400532038
total_communications;0;106532
sms_costs;0.0;112823.27999999977
viber_costs;0.0;44829.83999999983
email_costs;0.0;0.0
communication_costs;0.0;157653.12
communication_costs / total_group_size;0.0;1.3616493207002875
communication_costs + points_delta_with_redemption;7967.981999999983;148834.88699999996
accrued_points;487657.4999999999;1967679.0
spent_points;478498.90000000014;1977814.900000001
accrued_exp_points;22043.1;137579.5
spent_exp_points;16571.3;73230.39999999998
points_delta_with_redemption;7967.981999999983;-8818.233000000027
exp_points_delta_with_redemption;4760.4659999999985;55983.71699999998
num_visits;80971;326709
num_unique_visits;24986;100236
rto_novat;51711043.090000026;208007682.81
quantity;773324.5510000001;3107168.1550000003
front_margin_novat;14233802.38;57364626.529999994
front_margin_novat_wo_comm;14233802.38;57206973.40999992
commercial_front_margin_novat;14225834.397999994;57373444.76300001
ebitda;14225834.397999994;57215791.642999955
supplier_fin_ebitda;14225834.397999994;57375589.642999955
categories_items_num_visits;7807;32008
categories_items_num_unique_visits;5969;24242
categories_items_rto_novat;634657.67;2630172.890000001
categories_items_quantity;18397.0;77511.0
categories_items_front_margin_novat;163407.4000000001;675458.1199999998
categories_items_front_margin_novat_wo_comm;163407.4000000001;517804.999999995
categories_items_commercial_front_margin_novat;155439.41799999998;684276.353
categories_items_ebitda;155439.41799999998;526623.2329999991
categories_items_supplier_fin_ebitda;155439.41799999998;686421.2329999987
experiment_items_num_visits;1113;5084
experiment_items_num_unique_visits;960;4437
experiment_items_rto_novat;125610.60000000005;570406.49
experiment_items_quantity;6941.0;31494.0
experiment_items_front_margin_novat;27167.17000000001;123104.40000000005
experiment_items_front_margin_novat_wo_comm;27167.17000000001;-34548.719999999645
experiment_items_commercial_front_margin_novat;19199.188000000024;131922.6330000001
experiment_items_ebitda;19199.188000000024;-25730.487000000307
experiment_items_supplier_fin_ebitda;19199.188000000024;134067.5129999998
mean_effect_categories_items_num_unique_visits;;0.003091205771890547
effect_left_bound_categories_items_num_unique_visits;;-0.0011426822241008161
effect_right_bound_categories_items_num_unique_visits;;0.007438343837381131
mean_effect_categories_items_num_unique_visits * total_group_size;;357.0
control_metric_means_categories_items_num_unique_visits;;0.20577442359620576
target_metric_mean_categories_items_num_unique_visits;;0.20894488461704983
metric_pvalue_categories_items_num_unique_visits;;0.23170000000000002
metric_significance_categories_items_num_unique_visits;;0.0
mean_effect_categories_items_num_unique_visits * total_group_size / categories_items_num_unique_visits;;0.014726507713884993
mean_effect_categories_items_num_visits;;0.005852057430107813
effect_left_bound_categories_items_num_visits;;-0.00034586658781775575
effect_right_bound_categories_items_num_visits;;0.012067426871175357
mean_effect_categories_items_num_visits * total_group_size;;676.0
control_metric_means_categories_items_num_visits;;0.26812296614276815
target_metric_mean_categories_items_num_visits;;0.27413949863618653
metric_pvalue_categories_items_num_visits;;0.13645000000000002
metric_significance_categories_items_num_visits;;0.0
mean_effect_categories_items_num_visits * total_group_size / categories_items_num_visits;;0.021119720069982504
mean_effect_categories_items_rto_novat;;0.7331859980376958
effect_left_bound_categories_items_rto_novat;;0.10978862566479838
effect_right_bound_categories_items_rto_novat;;1.3625809796546628
