;0_79923_sms_viber_cg;1_79923_sms_viber_cg
Размер выборки, чел.;115692;28930
Затраты на коммуникацию и на баллы (сумма delta с учетом redemption), руб.;110970.83700000001;-1503.6209999999946
Затраты на коммуникацию, руб./гость;1.3615019188880826;0.0
Затраты на коммуникацию, руб.;157514.88000000006;0.0
Софинансирование, руб./гость;1.3794212218649518;0.0
Софинансирование, руб.;159588.0;0.0
Покупка предложения(чек), товаров (шт);3099755.855;775862.5230000002
Покупка предложения(категория), товаров (шт);79127.0;19694.0
Покупка предложения(набор plu), товаров (шт);28058.0;6737.0
Гостей, купившие что-нибудь;100350;25034
Гостей, купившие в категории;24521;6004
Гостей, купившие в наборе plu;3566;836
РТО(чек), руб.;207652486.69999996;52078659.610000044
РТО(категория), руб.;2677622.1300000013;663752.5800000002
РТО(набор plu), руб.;507195.1899999997;122112.56999999996
Баллов начислено за период, руб.;1959089.0999999999;484277.29999999993
Баллов списано за период, руб.;2012587.9999999995;486005.60000000003
ЭБ начислено за период, руб.;168918.19999999998;20706.3
ЭБ списано за период, руб.;73641.9;14881.8
Сумма delta баллов с учетом redemption, руб.;-46544.04300000005;-1503.6209999999946
Сумма delta ЭБ с учетом redemption, руб.;82890.38100000005;5067.314999999999
CR коммуникация;0.9196141479099679;
СR пришли в магазин;0.867389274971476;0.8653301071552022
Дельта СR пришедших к КГ;0.002059167816273799;
Значимость пришедших уникальных гостей;0.0;
CR купивших в категории;0.21195069667738478;0.20753543034911856
Дельта CR (купивших в категории) к КГ;0.004415266328266221;
Значимость купивших из категории;0.0;
CR купивших из набора plu;0.030823220274522008;0.028897338403041824
Дельта CR (купивших из списка plu) конверсии к КГ;0.001925881871480184;
Значимость купивших из набора plu;1.0;
Значимость РТО(чек);0.0;
Эффект РТО(чек) на гостя, руб.;-4.346118940421161;
Эффект РТО(чек) на группу, руб.;-501481.0;
Эффект РТО(чек) на группу / РТО(чек) группы;-0.002415001178023456;
Значимость РТО(категория);0.0;
Эффект РТО(категория) на гостя, руб.;0.09806780438171954;
Эффект РТО(категория) на группу, руб.;11316.0;
Эффект РТО(категория) на группу / РТО(категория) группы;0.004226137763508847;
Значимость РТО(набор plu);0.0;
Эффект РТО(набор plu) на гостя, руб.;0.16686578875836178;
Эффект РТО(набор plu) на группу, руб.;19254.0;
Эффект РТО(набор plu) на группу / РТО(набор plu) группы;0.037961716474479996;
Значимость ФМ(чек);0.0;
Эффект ФМ(чек) на гостя, руб.;-1.0502091631863948;
