;0_82424_sms_viber_tg;0_82435_sms_viber_cg
Размер выборки, чел.;145000;50000
Затраты на коммуникацию и на баллы (сумма delta с учетом redemption), руб.;-60802.415999999765;-47804.67300000001
Затраты на коммуникацию, руб./гость;1.3619937931034503;0.0
Затраты на коммуникацию, руб.;197489.1000000003;0.0
Софинансирование, руб./гость;1.4095448275862068;0.0
Софинансирование, руб.;204384.0;0.0
Покупка предложения(чек), товаров (шт);6288976.897999997;2113313.613
Покупка предложения(категория), товаров (шт);149712.90800000002;49712.609
Покупка предложения(набор plu), товаров (шт);6783.0;1625.0
Гостей, купившие что-нибудь;136751;47084
Гостей, купившие в категории;42035;14081
Гостей, купившие в наборе plu;1964;480
РТО(чек), руб.;416008748.5699998;139088564.76
РТО(категория), руб.;8646527.760000007;2846583.0300000007
РТО(набор plu), руб.;343203.15999999974;84114.64999999998
Баллов начислено за период, руб.;3368089.900000001;1118911.5000000005
Баллов списано за период, руб.;3664976.6999999993;1173859.4000000004
ЭБ начислено за период, руб.;527393.0;68459.0
ЭБ списано за период, руб.;226261.10000000006;49300.3
Сумма delta баллов с учетом redemption, руб.;-258291.51600000006;-47804.67300000001
Сумма delta ЭБ с учетом redemption, руб.;261984.7530000001;16668.068999999996
CR коммуникация;0.9396965517241379;
СR пришли в магазин;0.9431103448275862;0.94168
Дельта СR пришедших к КГ;0.001430344827586194;
Значимость пришедших уникальных гостей;1.0;
CR купивших в категории;0.2898965517241379;0.28162
Дельта CR (купивших в категории) к КГ;0.008276551724137937;
Значимость купивших из категории;1.0;
CR купивших из набора plu;0.013544827586206896;0.0096
Дельта CR (купивших из списка plu) конверсии к КГ;0.003944827586206897;
Значимость купивших из набора plu;1.0;
Значимость РТО(чек);1.0;
Эффект РТО(чек) на гостя, руб.;89.0263090247763;
Эффект РТО(чек) на группу, руб.;12889229.0;
Эффект РТО(чек) на группу / РТО(чек) группы;0.030983071976985577;
Значимость РТО(категория);1.0;
Эффект РТО(категория) на гостя, руб.;2.6524118687007374;
Эффект РТО(категория) на группу, руб.;384016.0;
Эффект РТО(категория) на группу / РТО(категория) группы;0.04441274123660475;
Значимость РТО(набор plu);1.0;
Эффект РТО(набор plu) на гостя, руб.;0.6784720812803179;
Эффект РТО(набор plu) на группу, руб.;98229.0;
Эффект РТО(набор plu) на группу / РТО(набор plu) группы;0.2862123996760405;
Значимость ФМ(чек);1.0;
Эффект ФМ(чек) на гостя, руб.;24.65279057143331;
Эффект ФМ(чек) на группу, руб.;3569231.0;
Эффект ФМ(чек) на группу / ФМ(чек) группы;0.033617264029263794;
Значимость ФМ(категория);1.0;
Эффект ФМ(категория) на гостя, руб.;0.7879528262131967;
Эффект ФМ(категория) на группу, руб.;114080.0;
Эффект ФМ(категория) на группу / ФМ(категория) группы;0.05099977166336453;
Значимость ФМ(набор plu);1.0;
Эффект ФМ(набор plu) на гостя, руб.;0.20282198996670678;
Эффект ФМ(набор plu) на группу, руб.;29365.0;
Эффект ФМ(набор plu) на группу / ФМ(набор plu) группы;0.2623315481268732;
Значимость ФМ - коммуникация(чек);1.0;
Эффект ФМ - коммуникация(чек) на гостя, руб.;23.290800082001056;
Эффект ФМ - коммуникация(чек) на группу, руб.;3372042.0;
Эффект ФМ - коммуникация(чек) на группу / ФМ - коммуникация(чек) группы;0.03181920006751159;
Значимость ФМ - коммуникация(категория);1.0;
Эффект ФМ - коммуникация(категория) на гостя, руб.;-0.5740376632190434;
Эффект ФМ - коммуникация(категория) на группу, руб.;-83109.0;
Эффект ФМ - коммуникация(категория) на группу / ФМ - коммуникация(категория) группы;-0.040752018185729384;
Значимость ФМ - коммуникация(набор plu);1.0;
Эффект ФМ - коммуникация(набор plu) на гостя, руб.;-1.1591684994655347;
Эффект ФМ - коммуникация(набор plu) на группу, руб.;-167824.0;
Эффект ФМ - коммуникация(набор plu) на группу / ФМ - коммуникация(набор plu) группы;-1.9616928461051208;
Значимость КМ(чек);1.0;
Эффект КМ(чек) на гостя, руб.;25.37044544316832;
Эффект КМ(чек) на группу, руб.;3673133.0;
Эффект КМ(чек) на группу / КМ(чек) группы;0.03451191951758925;
Значимость КМ(категория);1.0;
