;0_82424_sms_viber_tg;0_82435_sms_viber_cg
total_group_size;145000;50000
supplier_fin;204384.0;0.0
supplier_fin / total_group_size;1.4095448275862068;0.0
total_communications;136256;0
sms_costs;141263.6999999996;0.0
viber_costs;56225.39999999978;0.0
email_costs;0.0;0.0
communication_costs;197489.1000000003;0.0
communication_costs / total_group_size;1.3619937931034503;0.0
communication_costs + points_delta_with_redemption;-60802.415999999765;-47804.67300000001
accrued_points;3368089.900000001;1118911.5000000005
spent_points;3664976.6999999993;1173859.4000000004
accrued_exp_points;527393.0;68459.0
spent_exp_points;226261.10000000006;49300.3
points_delta_with_redemption;-258291.51600000006;-47804.67300000001
exp_points_delta_with_redemption;261984.7530000001;16668.068999999996
num_visits;722762;246938
num_unique_visits;136751;47084
rto_novat;416008748.5699998;139088564.76
quantity;6288976.897999997;2113313.613
front_margin_novat;106172560.52999996;35417242.12
front_margin_novat_wo_comm;105975071.42999995;35417242.12
commercial_front_margin_novat;106430852.04599996;35465046.793000005
ebitda;106233362.94599995;35465046.793000005
supplier_fin_ebitda;106437746.94599995;35465046.793000005
categories_items_num_visits;68871;22853
categories_items_num_unique_visits;42035;14081
categories_items_rto_novat;8646527.760000007;2846583.0300000007
categories_items_quantity;149712.90800000002;49712.609
categories_items_front_margin_novat;2236872.76;731388.1000000011
categories_items_front_margin_novat_wo_comm;2039383.6600000157;731388.1000000011
categories_items_commercial_front_margin_novat;2495164.2759999987;779192.7730000004
categories_items_ebitda;2297675.1760000023;779192.7730000004
categories_items_supplier_fin_ebitda;2502059.1760000037;779192.7730000004
experiment_items_num_visits;2453;565
experiment_items_num_unique_visits;1964;480
experiment_items_rto_novat;343203.15999999974;84114.64999999998
experiment_items_quantity;6783.0;1625.0
experiment_items_front_margin_novat;111938.50000000001;28298.98
experiment_items_front_margin_novat_wo_comm;-85550.59999999961;28298.98
experiment_items_commercial_front_margin_novat;370230.0160000002;76103.65300000002
experiment_items_ebitda;172740.9159999999;76103.65300000002
experiment_items_supplier_fin_ebitda;377124.91599999956;76103.65300000002
mean_effect_categories_items_num_unique_visits;0.008326276281586385;
effect_left_bound_categories_items_num_unique_visits;0.004502367069532573;
effect_right_bound_categories_items_num_unique_visits;0.012358181710712285;
mean_effect_categories_items_num_unique_visits * total_group_size;1205.0;
control_metric_means_categories_items_num_unique_visits;0.28175080128205127;
target_metric_mean_categories_items_num_unique_visits;0.28997789749965464;
metric_pvalue_categories_items_num_unique_visits;0.0005;
metric_significance_categories_items_num_unique_visits;1.0;
mean_effect_categories_items_num_unique_visits * total_group_size / categories_items_num_unique_visits;0.028666587367669798;
mean_effect_categories_items_num_visits;0.0174331057167639;
effect_left_bound_categories_items_num_visits;0.009660718650047303;
effect_right_bound_categories_items_num_visits;0.02527244502932831;
mean_effect_categories_items_num_visits * total_group_size;2524.0;
control_metric_means_categories_items_num_visits;0.45631009615384616;
target_metric_mean_categories_items_num_visits;0.47367730349495785;
metric_pvalue_categories_items_num_visits;0.0002;
metric_significance_categories_items_num_visits;1.0;
mean_effect_categories_items_num_visits * total_group_size / categories_items_num_visits;0.03664822639427335;
mean_effect_categories_items_rto_novat;2.6524118687007374;
effect_left_bound_categories_items_rto_novat;1.4990243880843381;
effect_right_bound_categories_items_rto_novat;3.7987096306390318;
mean_effect_categories_items_rto_novat * total_group_size;384016.0;
control_metric_means_categories_items_rto_novat;56.82203285256411;
target_metric_mean_categories_items_rto_novat;59.45018497029976;
metric_pvalue_categories_items_rto_novat;0.0002;
metric_significance_categories_items_rto_novat;1.0;
mean_effect_categories_items_rto_novat * total_group_size / categories_items_rto_novat;0.04441274123660475;
mean_effect_categories_items_front_margin_novat;0.7879528262131967;
effect_left_bound_categories_items_front_margin_novat;0.4630642574077931;
effect_right_bound_categories_items_front_margin_novat;1.0850352307454871;
mean_effect_categories_items_front_margin_novat * total_group_size;114080.0;
control_metric_means_categories_items_front_margin_novat;14.595214943910253;
target_metric_mean_categories_items_front_margin_novat;15.379583160657551;
metric_pvalue_categories_items_front_margin_novat;0.0001;
metric_significance_categories_items_front_margin_novat;1.0;
mean_effect_categories_items_front_margin_novat * total_group_size / categories_items_front_margin_novat;0.05099977166336453;
mean_effect_categories_items_front_margin_novat_wo_comm;-0.5740376632190434;
effect_left_bound_categories_items_front_margin_novat_wo_comm;-0.8990486518338182;
effect_right_bound_categories_items_front_margin_novat_wo_comm;-0.2768333767969859;
mean_effect_categories_items_front_margin_novat_wo_comm * total_group_size;-83109.0;
control_metric_means_categories_items_front_margin_novat_wo_comm;14.595214943910253;
target_metric_mean_categories_items_front_margin_novat_wo_comm;14.017595178892115;
metric_pvalue_categories_items_front_margin_novat_wo_comm;0.0033;
metric_significance_categories_items_front_margin_novat_wo_comm;1.0;
mean_effect_categories_items_front_margin_novat_wo_comm * total_group_size / categories_items_front_margin_novat_wo_comm;-0.040752018185729384;
mean_effect_categories_items_commercial_front_margin_novat;1.505607697948205;
effect_left_bound_categories_items_commercial_front_margin_novat;0.8233573942281912;
effect_right_bound_categories_items_commercial_front_margin_novat;2.170898400816356;
mean_effect_categories_items_commercial_front_margin_novat * total_group_size;217982.0;
