;0_82392_sms_viber_cg;1_82392_sms_viber_cg
Размер выборки, чел.;143396;35852
Затраты на коммуникацию и на баллы (сумма delta с учетом redemption), руб.;-60079.9259999998;-55901.06700000001
Затраты на коммуникацию, руб./гость;1.3617543027699541;0.0
Затраты на коммуникацию, руб.;195270.12000000034;0.0
Софинансирование, руб./гость;1.413972495746046;0.0
Софинансирование, руб.;202758.0;0.0
Покупка предложения(чек), товаров (шт);8098588.822000001;2001410.0999999985
Покупка предложения(категория), товаров (шт);324884.23;80190.252
Покупка предложения(набор plu), товаров (шт);14123.0;2859.0
Гостей, купившие что-нибудь;137208;34168
Гостей, купившие в категории;68195;16905
Гостей, купившие в наборе plu;4084;800
РТО(чек), руб.;537166802.4500003;132807988.99999994
РТО(категория), руб.;16086831.500000004;3985599.3099999987
РТО(набор plu), руб.;707609.45;144079.38000000015
Баллов начислено за период, руб.;4533469.200000002;1117754.1999999993
Баллов списано за период, руб.;4826975.000000002;1182008.2999999996
ЭБ начислено за период, руб.;475532.4;74471.2
ЭБ списано за период, руб.;398676.6999999999;85052.6
Сумма delta баллов с учетом redemption, руб.;-255350.04600000015;-55901.06700000001
Сумма delta ЭБ с учетом redemption, руб.;66864.45899999996;-9205.818000000001
CR коммуникация;0.942648330497364;
СR пришли в магазин;0.9568467739685905;0.9530291197143813
Дельта СR пришедших к КГ;0.003817654254209213;
Значимость пришедших уникальных гостей;0.0;
CR купивших в категории;0.475571145638651;0.4715218118933393
Дельта CR (купивших в категории) к КГ;0.0040493337453116895;
Значимость купивших из категории;0.0;
CR купивших из набора plu;0.028480571285112555;0.022313957380341403
Дельта CR (купивших из списка plu) конверсии к КГ;0.006166613904771152;
Значимость купивших из набора plu;1.0;
Значимость РТО(чек);0.0;
Эффект РТО(чек) на гостя, руб.;30.621101581098195;
Эффект РТО(чек) на группу, руб.;4381206.0;
Эффект РТО(чек) на группу / РТО(чек) группы;0.008156136939247664;
Значимость РТО(категория);0.0;
Эффект РТО(категория) на гостя, руб.;0.5356964693414291;
Эффект РТО(категория) на группу, руб.;76646.0;
Эффект РТО(категория) на группу / РТО(категория) группы;0.004764518109113033;
Значимость РТО(набор plu);1.0;
Эффект РТО(набор plu) на гостя, руб.;0.9001859239033452;
Эффект РТО(набор plu) на группу, руб.;128797.0;
Эффект РТО(набор plu) на группу / РТО(набор plu) группы;0.18201707170530299;
