;0_82392_sms_viber_cg;1_82392_sms_viber_cg
total_group_size;143396;35852
supplier_fin;202758.0;0.0
supplier_fin / total_group_size;1.413972495746046;0.0
total_communications;135172;0
sms_costs;138681.7199999996;0.0
viber_costs;56588.39999999978;0.0
email_costs;0.0;0.0
communication_costs;195270.12000000034;0.0
communication_costs / total_group_size;1.3617543027699541;0.0
communication_costs + points_delta_with_redemption;-60079.9259999998;-55901.06700000001
accrued_points;4533469.200000002;1117754.1999999993
spent_points;4826975.000000002;1182008.2999999996
accrued_exp_points;475532.4;74471.2
spent_exp_points;398676.6999999999;85052.6
points_delta_with_redemption;-255350.04600000015;-55901.06700000001
exp_points_delta_with_redemption;66864.45899999996;-9205.818000000001
num_visits;825157;203686
num_unique_visits;137208;34168
rto_novat;537166802.4500003;132807988.99999994
quantity;8098588.822000001;2001410.0999999985
front_margin_novat;138934264.93000013;34351937.800000004
front_margin_novat_wo_comm;138738994.80999994;34351937.800000004
commercial_front_margin_novat;139189614.97599998;34407838.86700001
ebitda;138994344.856;34407838.86700001
supplier_fin_ebitda;139197102.856;34407838.86700001
categories_items_num_visits;125180;30851
categories_items_num_unique_visits;68195;16905
categories_items_rto_novat;16086831.500000004;3985599.3099999987
categories_items_quantity;324884.23;80190.252
categories_items_front_margin_novat;4004074.149999998;984469.8499999995
categories_items_front_margin_novat_wo_comm;3808804.030000011;984469.8499999995
categories_items_commercial_front_margin_novat;4259424.196000002;1040370.9169999997
categories_items_ebitda;4064154.0759999994;1040370.9169999997
categories_items_supplier_fin_ebitda;4266912.076;1040370.9169999997
experiment_items_num_visits;4962;982
experiment_items_num_unique_visits;4084;800
experiment_items_rto_novat;707609.45;144079.38000000015
experiment_items_quantity;14123.0;2859.0
experiment_items_front_margin_novat;235296.56999999998;46956.22999999996
experiment_items_front_margin_novat_wo_comm;40026.45000000019;46956.22999999996
experiment_items_commercial_front_margin_novat;490646.61600000015;102857.2970000001
experiment_items_ebitda;295376.4959999997;102857.2970000001
experiment_items_supplier_fin_ebitda;498134.49599999946;102857.2970000001
mean_effect_categories_items_num_unique_visits;0.004160863470944209;
effect_left_bound_categories_items_num_unique_visits;-0.000613282520210226;
effect_right_bound_categories_items_num_unique_visits;0.009405412230986345;
mean_effect_categories_items_num_unique_visits * total_group_size;595.0;
control_metric_means_categories_items_num_unique_visits;0.47131639980998685;
target_metric_mean_categories_items_num_unique_visits;0.47537007785962904;
metric_pvalue_categories_items_num_unique_visits;0.16155;
metric_significance_categories_items_num_unique_visits;0.0;
mean_effect_categories_items_num_unique_visits * total_group_size / categories_items_num_unique_visits;0.008724979837231469;
mean_effect_categories_items_num_visits;0.009501963976211286;
effect_left_bound_categories_items_num_visits;-0.0023656813243451533;
effect_right_bound_categories_items_num_visits;0.022113277344960203;
mean_effect_categories_items_num_visits * total_group_size;1360.0;
control_metric_means_categories_items_num_visits;0.8580769553189705;
target_metric_mean_categories_items_num_visits;0.8673940088622989;
metric_pvalue_categories_items_num_visits;0.19265;
metric_significance_categories_items_num_visits;0.0;
mean_effect_categories_items_num_visits * total_group_size / categories_items_num_visits;0.010864355328327208;
mean_effect_categories_items_rto_novat;0.5356964693414291;
effect_left_bound_categories_items_rto_novat;-1.2750882506682188;
effect_right_bound_categories_items_rto_novat;2.3804321482913062;
mean_effect_categories_items_rto_novat * total_group_size;76646.0;
control_metric_means_categories_items_rto_novat;110.8482219800486;
target_metric_mean_categories_items_rto_novat;111.3564320161031;
metric_pvalue_categories_items_rto_novat;0.4687;
metric_significance_categories_items_rto_novat;0.0;
mean_effect_categories_items_rto_novat * total_group_size / categories_items_rto_novat;0.004764518109113033;
mean_effect_categories_items_front_margin_novat;0.32734537750040293;
effect_left_bound_categories_items_front_margin_novat;-0.18342767895547407;
effect_right_bound_categories_items_front_margin_novat;0.8578963994691114;
mean_effect_categories_items_front_margin_novat * total_group_size;46836.0;
control_metric_means_categories_items_front_margin_novat;27.369828149886832;
target_metric_mean_categories_items_front_margin_novat;27.690782580131117;
metric_pvalue_categories_items_front_margin_novat;0.29915;
metric_significance_categories_items_front_margin_novat;0.0;
