;0_85898_sms_viber_cg;1_85898_sms_viber_cg
Размер выборки, чел.;277457;73048
Затраты на коммуникацию и на баллы (сумма delta с учетом redemption), руб.;105346.86300000612;-74249.45400000009
Затраты на коммуникацию, руб./гость;1.354944009342011;0.0
Затраты на коммуникацию, руб.;375938.70000000636;0.0
Софинансирование, руб./гость;1.4566203051283622;0.0
Софинансирование, руб.;404149.5;0.0
Покупка предложения(чек), товаров (шт);7447842.171999998;2342279.6109999986
Покупка предложения(категория), товаров (шт);120107.99100000004;36194.96399999999
Покупка предложения(набор plu), товаров (шт);6109.0;948.0
Гостей, купившие что-нибудь;250001;66768
Гостей, купившие в категории;47728;14296
Гостей, купившие в наборе plu;2164;327
РТО(чек), руб.;473025600.70000005;146319858.25999993
РТО(категория), руб.;6671180.530000006;2017822.7499999995
РТО(набор plu), руб.;285141.6400000001;45001.99
Баллов начислено за период, руб.;3543781.200000001;1135219.9999999995
Баллов списано за период, руб.;3854806.3;1220564.200000001
ЭБ начислено за период, руб.;762992.7;146222.40000000002
ЭБ списано за период, руб.;277168.69999999995;66254.20000000001
Сумма delta баллов с учетом redemption, руб.;-270591.83700000023;-74249.45400000009
Сумма delta ЭБ с учетом redemption, руб.;422666.88000000006;69572.33400000003
CR коммуникация;0.9710802034189081;
СR пришли в магазин;0.9010441257564236;0.9140291315299529
Дельта СR пришедших к КГ;-0.012985005773529346;
Значимость пришедших уникальных гостей;1.0;
CR купивших в категории;0.1720194480586181;0.19570693242799256
Дельта CR (купивших в категории) к КГ;-0.023687484369374456;
Значимость купивших из категории;1.0;
CR купивших из набора plu;0.007799406754920583;0.004476508597086847
Дельта CR (купивших из списка plu) конверсии к КГ;0.003322898157833736;
Значимость купивших из набора plu;1.0;
Значимость РТО(чек);1.0;
Эффект РТО(чек) на гостя, руб.;-295.117416895224;
Эффект РТО(чек) на группу, руб.;-81745459.0;
Эффект РТО(чек) на группу / РТО(чек) группы;-0.17281402714574046;
Значимость РТО(категория);1.0;
Эффект РТО(категория) на гостя, руб.;-3.4835437983430073;
Эффект РТО(категория) на группу, руб.;-964917.0;
Эффект РТО(категория) на группу / РТО(категория) группы;-0.14463961748011625;
Значимость РТО(набор plu);1.0;
Эффект РТО(набор plu) на гостя, руб.;0.4186526572705859;
Эффект РТО(набор plu) на группу, руб.;115964.0;
Эффект РТО(набор plu) на группу / РТО(набор plu) группы;0.40668911071704567;
Значимость ФМ(чек);1.0;
Эффект ФМ(чек) на гостя, руб.;-60.62080144478554;
Эффект ФМ(чек) на группу, руб.;-16791538.0;
Эффект ФМ(чек) на группу / ФМ(чек) группы;-0.14297867407190032;
Значимость ФМ(категория);1.0;
