;0_85898_sms_viber_cg;1_85898_sms_viber_cg
total_group_size;277457;73048
supplier_fin;404149.5;0.0
supplier_fin / total_group_size;1.4566203051283622;0.0
total_communications;269433;0
sms_costs;224118.90000000098;0.0
viber_costs;151819.80000000139;0.0
email_costs;0.0;0.0
communication_costs;375938.70000000636;0.0
communication_costs / total_group_size;1.354944009342011;0.0
communication_costs + points_delta_with_redemption;105346.86300000612;-74249.45400000009
accrued_points;3543781.200000001;1135219.9999999995
spent_points;3854806.3;1220564.200000001
accrued_exp_points;762992.7;146222.40000000002
spent_exp_points;277168.69999999995;66254.20000000001
points_delta_with_redemption;-270591.83700000023;-74249.45400000009
exp_points_delta_with_redemption;422666.88000000006;69572.33400000003
num_visits;1068966;327077
num_unique_visits;250001;66768
rto_novat;473025600.70000005;146319858.25999993
quantity;7447842.171999998;2342279.6109999986
front_margin_novat;117440856.89000002;35443910.449999996
front_margin_novat_wo_comm;117064918.18999994;35443910.449999996
commercial_front_margin_novat;117711448.727;35518159.904
ebitda;117335510.02699998;35518159.904
supplier_fin_ebitda;117739659.527;35518159.904
categories_items_num_visits;66469;20640
categories_items_num_unique_visits;47728;14296
categories_items_rto_novat;6671180.530000006;2017822.7499999995
categories_items_quantity;120107.99100000004;36194.96399999999
categories_items_front_margin_novat;1626559.529999999;477911.9599999999
categories_items_front_margin_novat_wo_comm;1250620.8299999943;477911.9599999999
categories_items_commercial_front_margin_novat;1897151.3669999987;552161.4139999998
categories_items_ebitda;1521212.6670000006;552161.4139999998
categories_items_supplier_fin_ebitda;1925362.1670000027;552161.4139999998
experiment_items_num_visits;2438;359
experiment_items_num_unique_visits;2164;327
experiment_items_rto_novat;285141.6400000001;45001.99
experiment_items_quantity;6109.0;948.0
experiment_items_front_margin_novat;77382.13000000005;12554.189999999997
experiment_items_front_margin_novat_wo_comm;-298556.5700000049;12554.189999999997
experiment_items_commercial_front_margin_novat;347973.96700000035;86803.64400000001
experiment_items_ebitda;-27964.73300000094;86803.64400000001
experiment_items_supplier_fin_ebitda;376184.7669999991;86803.64400000001
mean_effect_categories_items_num_unique_visits;-0.023404467682832025;
effect_left_bound_categories_items_num_unique_visits;-0.026380219832855687;
effect_right_bound_categories_items_num_unique_visits;-0.02066582864210286;
mean_effect_categories_items_num_unique_visits * total_group_size;-6483.0;
control_metric_means_categories_items_num_unique_visits;0.19565723998958176;
target_metric_mean_categories_items_num_unique_visits;0.17214514446213441;
metric_pvalue_categories_items_num_unique_visits;0.0;
metric_significance_categories_items_num_unique_visits;1.0;
mean_effect_categories_items_num_unique_visits * total_group_size / categories_items_num_unique_visits;-0.13583221589004357;
mean_effect_categories_items_num_visits;-0.04223219077501966;
effect_left_bound_categories_items_num_visits;-0.04692997980269762;
effect_right_bound_categories_items_num_visits;-0.03767059009195221;
mean_effect_categories_items_num_visits * total_group_size;-11698.0;
control_metric_means_categories_items_num_visits;0.28199152832801;
target_metric_mean_categories_items_num_visits;0.23964143498211146;
metric_pvalue_categories_items_num_visits;0.0;
metric_significance_categories_items_num_visits;1.0;
mean_effect_categories_items_num_visits * total_group_size / categories_items_num_visits;-0.17599181573365028;
mean_effect_categories_items_rto_novat;-3.4835437983430073;
effect_left_bound_categories_items_rto_novat;-4.016153864849591;
effect_right_bound_categories_items_rto_novat;-2.9485292934918736;
mean_effect_categories_items_rto_novat * total_group_size;-964917.0;
control_metric_means_categories_items_rto_novat;27.545314808976137;
target_metric_mean_categories_items_rto_novat;24.052847256067842;
metric_pvalue_categories_items_rto_novat;0.0;
metric_significance_categories_items_rto_novat;1.0;
mean_effect_categories_items_rto_novat * total_group_size / categories_items_rto_novat;-0.14463961748011625;
mean_effect_categories_items_front_margin_novat;-0.65368104666901;
effect_left_bound_categories_items_front_margin_novat;-0.8033119646082829;
effect_right_bound_categories_items_front_margin_novat;-0.5060638923796988;
mean_effect_categories_items_front_margin_novat * total_group_size;-181065.0;
control_metric_means_categories_items_front_margin_novat;6.520171215506723;
target_metric_mean_categories_items_front_margin_novat;5.86499983754102;
metric_pvalue_categories_items_front_margin_novat;0.0;
metric_significance_categories_items_front_margin_novat;1.0;
mean_effect_categories_items_front_margin_novat * total_group_size / categories_items_front_margin_novat;-0.11131778250993378;
mean_effect_categories_items_front_margin_novat_wo_comm;-2.0086255095254706;
effect_left_bound_categories_items_front_margin_novat_wo_comm;-2.1583747820802035;
effect_right_bound_categories_items_front_margin_novat_wo_comm;-1.860969947767377;
mean_effect_categories_items_front_margin_novat_wo_comm * total_group_size;-556375.0;
control_metric_means_categories_items_front_margin_novat_wo_comm;6.520171215506723;
target_metric_mean_categories_items_front_margin_novat_wo_comm;4.510056210806771;
metric_pvalue_categories_items_front_margin_novat_wo_comm;0.0;
metric_significance_categories_items_front_margin_novat_wo_comm;1.0;
mean_effect_categories_items_front_margin_novat_wo_comm * total_group_size / categories_items_front_margin_novat_wo_comm;-0.4448790445941977;
