;0_85217_sms_viber_tg;0_85224_sms_viber_cg
Размер выборки, чел.;177331;59250
Затраты на коммуникацию и на баллы (сумма delta с учетом redemption), руб.;-286120.2209999982;-156064.60199999993
Затраты на коммуникацию, руб./гость;1.3549241813332242;0.0
Затраты на коммуникацию, руб.;240270.06000000198;0.0
Софинансирование, руб./гость;1.4571563911555228;0.0
Софинансирование, руб.;258399.0;0.0
Покупка предложения(чек), товаров (шт);6731942.177000001;2793765.875000002
Покупка предложения(категория), товаров (шт);130022.56499999997;50484.28500000002
Покупка предложения(набор plu), товаров (шт);8931.0;2081.0
Гостей, купившие что-нибудь;164229;55784
Гостей, купившие в категории;44191;16835
Гостей, купившие в наборе plu;3096;708
РТО(чек), руб.;445365329.95999986;179896159.20000002
РТО(категория), руб.;7212620.360000007;2798194.3299999996
РТО(набор plu), руб.;391063.61999999994;92480.95999999999
Баллов начислено за период, руб.;3157941.4000000013;1310865.3000000005
Баллов списано за период, руб.;3762987.6999999997;1490249.9000000004
ЭБ начислено за период, руб.;557158.7;124250.80000000002
ЭБ списано за период, руб.;209873.49999999985;61936.90000000001
Сумма delta баллов с учетом redemption, руб.;-526390.2810000002;-156064.60199999993
Сумма delta ЭБ с учетом redemption, руб.;302138.12399999995;54213.093000000015
CR коммуникация;0.9714375941036818;
СR пришли в магазин;0.9261155691898202;0.9415021097046413
Дельта СR пришедших к КГ;-0.015386540514821134;
Значимость пришедших уникальных гостей;1.0;
CR купивших в категории;0.24920064737693917;0.2841350210970464
Дельта CR (купивших в категории) к КГ;-0.03493437372010724;
Значимость купивших из категории;1.0;
CR купивших из набора plu;0.01745887633859844;0.011949367088607594
Дельта CR (купивших из списка plu) конверсии к КГ;0.005509509249990845;
Значимость купивших из набора plu;1.0;
Значимость РТО(чек);1.0;
Эффект РТО(чек) на гостя, руб.;-516.1909867306359;
Эффект РТО(чек) на группу, руб.;-91415875.0;
Эффект РТО(чек) на группу / РТО(чек) группы;-0.20526042071620268;
Значимость РТО(категория);1.0;
Эффект РТО(категория) на гостя, руб.;-6.515401367522296;
Эффект РТО(категория) на группу, руб.;-1153858.0;
Эффект РТО(категория) на группу / РТО(категория) группы;-0.15997764230030803;
Значимость РТО(набор plu);1.0;
Эффект РТО(набор plu) на гостя, руб.;0.6590374349575231;
Эффект РТО(набор plu) на группу, руб.;116714.0;
Эффект РТО(набор plu) на группу / РТО(набор plu) группы;0.29845271723306815;
Значимость ФМ(чек);1.0;
Эффект ФМ(чек) на гостя, руб.;-115.51203787094202;
Эффект ФМ(чек) на группу, руб.;-20456835.0;
Эффект ФМ(чек) на группу / ФМ(чек) группы;-0.18296917680518643;
Значимость ФМ(категория);1.0;
Эффект ФМ(категория) на гостя, руб.;-1.3963749361802507;
Эффект ФМ(категория) на группу, руб.;-247294.0;
Эффект ФМ(категория) на группу / ФМ(категория) группы;-0.13878712976919333;
Значимость ФМ(набор plu);1.0;
Эффект ФМ(набор plu) на гостя, руб.;0.14271088755788164;
Эффект ФМ(набор plu) на группу, руб.;25274.0;
Эффект ФМ(набор plu) на группу / ФМ(набор plu) группы;0.26513868009739444;
Значимость ФМ - коммуникация(чек);1.0;
Эффект ФМ - коммуникация(чек) на гостя, руб.;-116.86696526417852;
Эффект ФМ - коммуникация(чек) на группу, руб.;-20696789.0;
Эффект ФМ - коммуникация(чек) на группу / ФМ - коммуникация(чек) группы;-0.18551403561075827;
Значимость ФМ - коммуникация(категория);1.0;
Эффект ФМ - коммуникация(категория) на гостя, руб.;-2.751302329416724;
Эффект ФМ - коммуникация(категория) на группу, руб.;-487247.0;
Эффект ФМ - коммуникация(категория) на группу / ФМ - коммуникация(категория) группы;-0.3160755721917742;
Значимость ФМ - коммуникация(набор plu);1.0;
Эффект ФМ - коммуникация(набор plu) на гостя, руб.;-1.212216505678593;
Эффект ФМ - коммуникация(набор plu) на группу, руб.;-214680.0;
Эффект ФМ - коммуникация(набор plu) на группу / ФМ - коммуникация(набор plu) группы;-1.4810996288558032;
Значимость КМ(чек);1.0;
Эффект КМ(чек) на гостя, руб.;-115.11860745989868;
Эффект КМ(чек) на группу, руб.;-20387160.0;
Эффект КМ(чек) на группу / КМ(чек) группы;-0.18149150908425296;
Значимость КМ(категория);1.0;
Эффект КМ(категория) на гостя, руб.;-1.0029445251369393;
