;0_85217_sms_viber_tg;0_85224_sms_viber_cg
total_group_size;177331;59250
supplier_fin;258399.0;0.0
supplier_fin / total_group_size;1.4571563911555228;0.0
total_communications;172266;0
sms_costs;144445.97999999957;0.0
viber_costs;95824.07999999954;0.0
email_costs;0.0;0.0
communication_costs;240270.06000000198;0.0
communication_costs / total_group_size;1.3549241813332242;0.0
communication_costs + points_delta_with_redemption;-286120.2209999982;-156064.60199999993
accrued_points;3157941.4000000013;1310865.3000000005
spent_points;3762987.6999999997;1490249.9000000004
accrued_exp_points;557158.7;124250.80000000002
spent_exp_points;209873.49999999985;61936.90000000001
points_delta_with_redemption;-526390.2810000002;-156064.60199999993
exp_points_delta_with_redemption;302138.12399999995;54213.093000000015
num_visits;828549;344945
num_unique_visits;164229;55784
rto_novat;445365329.95999986;179896159.20000002
quantity;6731942.177000001;2793765.875000002
front_margin_novat;111804815.20000003;44350013.95999999
front_margin_novat_wo_comm;111564545.13999996;44350013.95999999
commercial_front_margin_novat;112331205.48100002;44506078.56199998
ebitda;112090935.42100005;44506078.56199998
supplier_fin_ebitda;112349334.42100005;44506078.56199998
categories_items_num_visits;66737;26713
categories_items_num_unique_visits;44191;16835
categories_items_rto_novat;7212620.360000007;2798194.3299999996
categories_items_quantity;130022.56499999997;50484.28500000002
categories_items_front_margin_novat;1781822.2800000005;678749.3600000002
categories_items_front_margin_novat_wo_comm;1541552.2200000007;678749.3600000002
categories_items_commercial_front_margin_novat;2308212.5609999984;834813.961999999
categories_items_ebitda;2067942.5010000027;834813.961999999
categories_items_supplier_fin_ebitda;2326341.5010000025;834813.961999999
experiment_items_num_visits;3415;770
experiment_items_num_unique_visits;3096;708
experiment_items_rto_novat;391063.61999999994;92480.95999999999
experiment_items_quantity;8931.0;2081.0
experiment_items_front_margin_novat;95323.7;23562.919999999995
experiment_items_front_margin_novat_wo_comm;-144946.36000000025;23562.919999999995
experiment_items_commercial_front_margin_novat;621713.9810000004;179627.52200000003
experiment_items_ebitda;381443.9209999994;179627.52200000003
experiment_items_supplier_fin_ebitda;639842.9209999994;179627.52200000003
mean_effect_categories_items_num_unique_visits;-0.034919475432507945;
effect_left_bound_categories_items_num_unique_visits;-0.038354971902505725;
effect_right_bound_categories_items_num_unique_visits;-0.03140679061805767;
mean_effect_categories_items_num_unique_visits * total_group_size;-6184.0;
control_metric_means_categories_items_num_unique_visits;0.2841854331507405;
target_metric_mean_categories_items_num_unique_visits;0.24937745981016055;
metric_pvalue_categories_items_num_unique_visits;0.0;
metric_significance_categories_items_num_unique_visits;1.0;
