;1_85878_sms_viber_cg;0_85878_sms_viber_cg
Размер выборки, чел.;11396;93726
Затраты на коммуникацию и на баллы (сумма delta с учетом redemption), руб.;-19636.508999999995;-153663.48900000006
Затраты на коммуникацию, руб./гость;0.0;0.0
Затраты на коммуникацию, руб.;0.0;0.0
Софинансирование, руб./гость;0.0;0.0
Софинансирование, руб.;0.0;0.0
Покупка предложения(чек), товаров (шт);378527.38600000023;2869073.5790000013
Покупка предложения(категория), товаров (шт);5638.856;48322.96800000001
Покупка предложения(набор plu), товаров (шт);148.0;2309.0
Гостей, купившие что-нибудь;10399;84837
Гостей, купившие в категории;2199;17844
Гостей, купившие в наборе plu;50;780
РТО(чек), руб.;23224142.78999999;183196305.31000018
РТО(категория), руб.;311558.6999999999;2704248.550000001
РТО(набор plu), руб.;6802.1399999999985;111089.28999999995
Баллов начислено за период, руб.;176346.09999999998;1360905.7999999998
Баллов списано за период, руб.;198916.8;1537530.5000000005
ЭБ начислено за период, руб.;20281.8;238715.9
ЭБ списано за период, руб.;9199.5;93797.79999999997
Сумма delta баллов с учетом redemption, руб.;-19636.508999999995;-153663.48900000006
Сумма delta ЭБ с учетом redemption, руб.;9641.600999999997;126078.74700000002
CR коммуникация;;0.0
СR пришли в магазин;0.9125131625131625;0.9051597208885475
Дельта СR пришедших к КГ;;-0.0073534416246150425
Значимость пришедших уникальных гостей;;1.0
CR купивших в категории;0.19296244296244297;0.19038473849305423
Дельта CR (купивших в категории) к КГ;;-0.0025777044693887363
Значимость купивших из категории;;1.0
CR купивших из набора plu;0.0043875043875043875;0.008322130465399142
Дельта CR (купивших из списка plu) конверсии к КГ;;0.003934626077894754
Значимость купивших из набора plu;;1.0
Значимость РТО(чек);;1.0
Эффект РТО(чек) на гостя, руб.;;-90.56921723393063
Эффект РТО(чек) на группу, руб.;;-8474109.0
Эффект РТО(чек) на группу / РТО(чек) группы;;-0.04625698638223258
Значимость РТО(категория);;1.0
Эффект РТО(категория) на гостя, руб.;;1.4357941442503388
Эффект РТО(категория) на группу, руб.;;134340.0
Эффект РТО(категория) на группу / РТО(категория) группы;;0.04967738634823339
Значимость РТО(набор plu);;1.0
Эффект РТО(набор plu) на гостя, руб.;;0.5923384724842433
Эффект РТО(набор plu) на группу, руб.;;55422.0
Эффект РТО(набор plu) на группу / РТО(набор plu) группы;;0.4988959781811552
Значимость ФМ(чек);;1.0
Эффект ФМ(чек) на гостя, руб.;;-10.74599140196841
Эффект ФМ(чек) на группу, руб.;;-1005449.0
Эффект ФМ(чек) на группу / ФМ(чек) группы;;-0.022156571445237812
Значимость ФМ(категория);;1.0
Эффект ФМ(категория) на гостя, руб.;;0.4348275873552255
Эффект ФМ(категория) на группу, руб.;;40685.0
Эффект ФМ(категория) на группу / ФМ(категория) группы;;0.061473798547982454
