;1_85878_sms_viber_cg;0_85878_sms_viber_cg
total_group_size;11396;93726
supplier_fin;0.0;0.0
supplier_fin / total_group_size;0.0;0.0
total_communications;0;0
sms_costs;0.0;0.0
viber_costs;0.0;0.0
email_costs;0.0;0.0
communication_costs;0.0;0.0
communication_costs / total_group_size;0.0;0.0
communication_costs + points_delta_with_redemption;-19636.508999999995;-153663.48900000006
accrued_points;176346.09999999998;1360905.7999999998
spent_points;198916.8;1537530.5000000005
accrued_exp_points;20281.8;238715.9
spent_exp_points;9199.5;93797.79999999997
points_delta_with_redemption;-19636.508999999995;-153663.48900000006
exp_points_delta_with_redemption;9641.600999999997;126078.74700000002
num_visits;55426;391843
num_unique_visits;10399;84837
rto_novat;23224142.78999999;183196305.31000018
quantity;378527.38600000023;2869073.5790000013
front_margin_novat;5631363.6400000015;45379268.290000014
front_margin_novat_wo_comm;5631363.6400000015;45379268.290000014
commercial_front_margin_novat;5651000.149000002;45532931.77900001
ebitda;5651000.149000002;45532931.77900001
supplier_fin_ebitda;5651000.149000002;45532931.77900001
categories_items_num_visits;3246;25555
categories_items_num_unique_visits;2199;17844
categories_items_rto_novat;311558.6999999999;2704248.550000001
categories_items_quantity;5638.856;48322.96800000001
categories_items_front_margin_novat;75331.18000000001;661826.6799999992
categories_items_front_margin_novat_wo_comm;75331.18000000001;661826.6799999992
categories_items_commercial_front_margin_novat;94967.68900000003;815490.1690000002
categories_items_ebitda;94967.68900000003;815490.1690000002
categories_items_supplier_fin_ebitda;94967.68900000003;815490.1690000002
experiment_items_num_visits;58;923
experiment_items_num_unique_visits;50;780
experiment_items_rto_novat;6802.1399999999985;111089.28999999995
experiment_items_quantity;148.0;2309.0
experiment_items_front_margin_novat;1714.1599999999994;30911.440000000006
experiment_items_front_margin_novat_wo_comm;1714.1599999999994;30911.440000000006
experiment_items_commercial_front_margin_novat;21350.668999999998;184574.92900000003
experiment_items_ebitda;21350.668999999998;184574.92900000003
experiment_items_supplier_fin_ebitda;21350.668999999998;184574.92900000003
mean_effect_categories_items_num_unique_visits;;-0.002840850759930473
effect_left_bound_categories_items_num_unique_visits;;-0.009687098843806365
effect_right_bound_categories_items_num_unique_visits;;0.0036100253265480184
mean_effect_categories_items_num_unique_visits * total_group_size;;-266.0
control_metric_means_categories_items_num_unique_visits;;0.19300711587454977
target_metric_mean_categories_items_num_unique_visits;;0.19046652060065195
metric_pvalue_categories_items_num_unique_visits;;0.38880000000000003
metric_significance_categories_items_num_unique_visits;;0.0
mean_effect_categories_items_num_unique_visits * total_group_size / categories_items_num_unique_visits;;-0.01490697153104685
mean_effect_categories_items_num_visits;;-0.012903097676424974
effect_left_bound_categories_items_num_visits;;-0.024564683439228293
effect_right_bound_categories_items_num_visits;;-0.0014004244371929413
mean_effect_categories_items_num_visits * total_group_size;;-1207.0
control_metric_means_categories_items_num_visits;;0.28498638320302205
target_metric_mean_categories_items_num_visits;;0.27237749158339125
metric_pvalue_categories_items_num_visits;;0.064
metric_significance_categories_items_num_visits;;1.0
mean_effect_categories_items_num_visits * total_group_size / categories_items_num_visits;;-0.04723146155351203
mean_effect_categories_items_rto_novat;;1.4357941442503388
effect_left_bound_categories_items_rto_novat;;0.12625144733878085
effect_right_bound_categories_items_rto_novat;;2.709652090775473
mean_effect_categories_items_rto_novat * total_group_size;;134340.0
control_metric_means_categories_items_rto_novat;;27.354237020117722
target_metric_mean_categories_items_rto_novat;;28.81632480094052
metric_pvalue_categories_items_rto_novat;;0.0688
metric_significance_categories_items_rto_novat;;1.0
mean_effect_categories_items_rto_novat * total_group_size / categories_items_rto_novat;;0.04967738634823339
mean_effect_categories_items_front_margin_novat;;0.4348275873552255
effect_left_bound_categories_items_front_margin_novat;;0.08095973622966422
effect_right_bound_categories_items_front_margin_novat;;0.7929825321392412
mean_effect_categories_items_front_margin_novat * total_group_size;;40685.0
control_metric_means_categories_items_front_margin_novat;;6.612454537468155
target_metric_mean_categories_items_front_margin_novat;;7.052217068348207
metric_pvalue_categories_items_front_margin_novat;;0.047049999999999995
metric_significance_categories_items_front_margin_novat;;1.0
mean_effect_categories_items_front_margin_novat * total_group_size / categories_items_front_margin_novat;;0.061473798547982454
mean_effect_categories_items_front_margin_novat_wo_comm;;0.4348275873552255
effect_left_bound_categories_items_front_margin_novat_wo_comm;;0.08095973622966422
effect_right_bound_categories_items_front_margin_novat_wo_comm;;0.7929825321392412
mean_effect_categories_items_front_margin_novat_wo_comm * total_group_size;;40685.0
control_metric_means_categories_items_front_margin_novat_wo_comm;;6.612454537468155
target_metric_mean_categories_items_front_margin_novat_wo_comm;;7.052217068348207
metric_pvalue_categories_items_front_margin_novat_wo_comm;;0.047049999999999995
metric_significance_categories_items_front_margin_novat_wo_comm;;1.0
mean_effect_categories_items_front_margin_novat_wo_comm * total_group_size / categories_items_front_margin_novat_wo_comm;;0.061473798547982454
mean_effect_categories_items_commercial_front_margin_novat;;0.10073879150148658
effect_left_bound_categories_items_commercial_front_margin_novat;;-0.8895610610336432
effect_right_bound_categories_items_commercial_front_margin_novat;;1.1488066424098173
mean_effect_categories_items_commercial_front_margin_novat * total_group_size;;9426.0
control_metric_means_categories_items_commercial_front_margin_novat;;8.310876746024773
target_metric_mean_categories_items_commercial_front_margin_novat;;8.458946582589643
metric_pvalue_categories_items_commercial_front_margin_novat;;0.50295
metric_significance_categories_items_commercial_front_margin_novat;;0.0
mean_effect_categories_items_commercial_front_margin_novat * total_group_size / categories_items_commercial_front_margin_novat;;0.011558692377075115
mean_effect_categories_items_ebitda;;0.10073879150148658
