;1_85657_sms_viber_cg;0_85657_sms_viber_cg
Размер выборки, чел.;90212;767383
Затраты на коммуникацию и на баллы (сумма delta с учетом redemption), руб.;-64403.838000000054;425587.05900004506
Затраты на коммуникацию, руб./гость;0.0;1.3594553697437193
Затраты на коммуникацию, руб.;0.0;1043222.9400000445
Софинансирование, руб./гость;0.0;1.3737657727627535
Софинансирование, руб.;0.0;1054204.5
Покупка предложения(чек), товаров (шт);3510740.510999998;29876389.961000003
Покупка предложения(категория), товаров (шт);61761.933000000005;536768.8169999999
Покупка предложения(набор plu), товаров (шт);731.0;16628.0
Гостей, купившие что-нибудь;85950;729921
Гостей, купившие в категории;22168;192737
Гостей, купившие в наборе plu;274;6166
РТО(чек), руб.;219337000.9800001;1866914784.2400014
РТО(категория), руб.;3494948.4299999997;30148589.040000014
РТО(набор plu), руб.;33788.93;753857.5999999996
Баллов начислено за период, руб.;1546369.1999999997;13093450.700000003
Баллов списано за период, руб.;1620396.599999999;13803376.999999998
ЭБ начислено за период, руб.;153922.6;1195927.4999999998
ЭБ списано за период, руб.;74225.30000000003;652480.2000000004
Сумма delta баллов с учетом redemption, руб.;-64403.838000000054;-617635.8809999995
Сумма delta ЭБ с учетом redemption, руб.;69336.65100000001;472799.15099999984
CR коммуникация;;0.9158438485085023
СR пришли в магазин;0.9527557309448854;0.9511821346055359
Дельта СR пришедших к КГ;;-0.0015735963393495034
Значимость пришедших уникальных гостей;;1.0
CR купивших в категории;0.2457322750853545;0.2511614148345741
Дельта CR (купивших в категории) к КГ;;0.0054291397492196025
Значимость купивших из категории;;1.0
CR купивших из набора plu;0.003037289939254201;0.008035101116391684
Дельта CR (купивших из списка plu) конверсии к КГ;;0.004997811177137483
Значимость купивших из набора plu;;1.0
Значимость РТО(чек);;0.0
Эффект РТО(чек) на гостя, руб.;;4.26687454654141
Эффект РТО(чек) на группу, руб.;;3269646.0
Эффект РТО(чек) на группу / РТО(чек) группы;;0.0017513632799962178
Значимость РТО(категория);;1.0
Эффект РТО(категория) на гостя, руб.;;0.6071344845927095
Эффект РТО(категория) на группу, руб.;;465239.0
Эффект РТО(категория) на группу / РТО(категория) группы;;0.015431534768766074
Значимость РТО(набор plu);;1.0
Эффект РТО(набор plu) на гостя, руб.;;0.6147266595627691
Эффект РТО(набор plu) на группу, руб.;;471056.0
Эффект РТО(набор plu) на группу / РТО(набор plu) группы;;0.6248607164005513
Значимость ФМ(чек);;0.0
Эффект ФМ(чек) на гостя, руб.;;0.3460918637765196
Эффект ФМ(чек) на группу, руб.;;265205.0
Эффект ФМ(чек) на группу / ФМ(чек) группы;;0.0005853393584682805
Значимость ФМ(категория);;1.0
Эффект ФМ(категория) на гостя, руб.;;0.18083795542816786
Эффект ФМ(категория) на группу, руб.;;138574.0
Эффект ФМ(категория) на группу / ФМ(категория) группы;;0.018364305852635786
Значимость ФМ(набор plu);;1.0
Эффект ФМ(набор plu) на гостя, руб.;;0.15891856928973006
Эффект ФМ(набор plu) на группу, руб.;;121777.0
Эффект ФМ(набор plu) на группу / ФМ(набор plu) группы;;0.6198640632820549
Значимость ФМ - коммуникация(чек);;0.0
Эффект ФМ - коммуникация(чек) на гостя, руб.;;-1.0133623058416157
Эффект ФМ - коммуникация(чек) на группу, руб.;;-776525.0
Эффект ФМ - коммуникация(чек) на группу / ФМ - коммуникация(чек) группы;;-0.0017178395049072498
Значимость ФМ - коммуникация(категория);;1.0
Эффект ФМ - коммуникация(категория) на гостя, руб.;;-1.1786162141899625
Эффект ФМ - коммуникация(категория) на группу, руб.;;-903157.0
Эффект ФМ - коммуникация(категория) на группу / ФМ - коммуникация(категория) группы;;-0.1388914419232364
Значимость ФМ - коммуникация(набор plu);;1.0
Эффект ФМ - коммуникация(набор plu) на гостя, руб.;;-1.2005356003284018
Эффект ФМ - коммуникация(набор plu) на группу, руб.;;-919954.0
Эффект ФМ - коммуникация(набор plu) на группу / ФМ - коммуникация(набор plu) группы;;-1.0864332131681362
Значимость КМ(чек);;0.0
Эффект КМ(чек) на гостя, руб.;;0.46641433979960767
Эффект КМ(чек) на группу, руб.;;357407.0
Эффект КМ(чек) на группу / КМ(чек) группы;;0.0007877663905089217
Значимость КМ(категория);;0.0
Эффект КМ(категория) на гостя, руб.;;0.30116043145126153
Эффект КМ(категория) на группу, руб.;;230775.0
Эффект КМ(категория) на группу / КМ(категория) группы;;0.028269229719125818
Значимость КМ(набор plu);;0.0
Эффект КМ(набор plu) на гостя, руб.;;0.27924104531282395
Эффект КМ(набор plu) на группу, руб.;;213979.0
Эффект КМ(набор plu) на группу / КМ(набор plu) группы;;0.2628432822795604
Значимость Ebitda без учета софинансирования(чек);;0.0
Эффект Ebitda без учета софинансирования(чек) на гостя, руб.;;-0.8930398298185316
Эффект Ebitda без учета софинансирования(чек) на группу, руб.;;-684324.0
Эффект Ebitda без учета софинансирования(чек) на группу / Ebitda без учета софинансирования(чек) группы;;-0.001511805513975533
Значимость Ebitda без учета софинансирования(категория);;1.0
Эффект Ebitda без учета софинансирования(категория) на гостя, руб.;;-1.0582937381668702
Эффект Ebitda без учета софинансирования(категория) на группу, руб.;;-810956.0
Эффект Ebitda без учета софинансирования(категория) на группу / Ebitda без учета софинансирования(категория) группы;;-0.11389436747906322
Значимость Ebitda без учета софинансирования(набор plu);;1.0
Эффект Ebitda без учета софинансирования(набор plu) на гостя, руб.;;-1.080213124305308
Эффект Ebitda без учета софинансирования(набор plu) на группу, руб.;;-827752.0
Эффект Ebitda без учета софинансирования(набор plu) на группу / Ebitda без учета софинансирования(набор plu) группы;;-3.612595113202109
Значимость Ebitda софинансирование(чек);;0.0
Эффект Ebitda софинансирование(чек) на гостя, руб.;;0.4807476920727746
Эффект Ebitda софинансирование(чек) на группу, руб.;;368390.0
Эффект Ebitda софинансирование(чек) на группу / Ebitda софинансирование(чек) группы;;0.0008119545405067411
Значимость Ebitda софинансирование(категория);;0.0
Эффект Ebitda софинансирование(категория) на гостя, руб.;;0.31549378372443404
Эффект Ebitda софинансирование(категория) на группу, руб.;;241758.0
Эффект Ebitda софинансирование(категория) на группу / Ebitda софинансирование(категория) группы;;0.029574829254798565
Значимость Ebitda софинансирование(набор plu);;0.0
Эффект Ebitda софинансирование(набор plu) на гостя, руб.;;0.2935743975859964
Эффект Ebitda софинансирование(набор plu) на группу, руб.;;224962.0
Эффект Ebitda софинансирование(набор plu) на группу / Ebitda софинансирование(набор plu) группы;;0.2726564149291294
