;1_85657_sms_viber_cg;0_85657_sms_viber_cg
total_group_size;90212;767383
supplier_fin;0.0;1054204.5
supplier_fin / total_group_size;0.0;1.3737657727627535
total_communications;0;702803
sms_costs;0.0;700964.1000000382
viber_costs;0.0;342258.8399999967
email_costs;0.0;0.0
communication_costs;0.0;1043222.9400000445
communication_costs / total_group_size;0.0;1.3594553697437193
communication_costs + points_delta_with_redemption;-64403.838000000054;425587.05900004506
accrued_points;1546369.1999999997;13093450.700000003
spent_points;1620396.599999999;13803376.999999998
accrued_exp_points;153922.6;1195927.4999999998
spent_exp_points;74225.30000000003;652480.2000000004
points_delta_with_redemption;-64403.838000000054;-617635.8809999995
exp_points_delta_with_redemption;69336.65100000001;472799.15099999984
num_visits;490121;4151245
num_unique_visits;85950;729921
rto_novat;219337000.9800001;1866914784.2400014
quantity;3510740.510999998;29876389.961000003
front_margin_novat;53168255.130000025;453079049.2100002
front_margin_novat_wo_comm;53168255.130000025;452035826.2700021
commercial_front_margin_novat;53232658.96800001;453696685.091
ebitda;53232658.96800001;452653462.15100193
supplier_fin_ebitda;53232658.96800001;453707666.65100205
categories_items_num_visits;34015;295110
categories_items_num_unique_visits;22168;192737
categories_items_rto_novat;3494948.4299999997;30148589.040000014
categories_items_quantity;61761.933000000005;536768.8169999999
categories_items_front_margin_novat;871416.5000000002;7545833.8100000005
categories_items_front_margin_novat_wo_comm;871416.5000000002;6502610.869999923
categories_items_commercial_front_margin_novat;935820.3379999998;8163469.690999998
categories_items_ebitda;935820.3379999998;7120246.751000001
categories_items_supplier_fin_ebitda;935820.3379999998;8174451.251000016
experiment_items_num_visits;286;7039
experiment_items_num_unique_visits;274;6166
experiment_items_rto_novat;33788.93;753857.5999999996
experiment_items_quantity;731.0;16628.0
experiment_items_front_margin_novat;8868.119999999999;196457.59
experiment_items_front_margin_novat_wo_comm;8868.119999999999;-846765.3500000539
experiment_items_commercial_front_margin_novat;73271.95800000006;814093.4709999997
experiment_items_ebitda;73271.95800000006;-229129.46900000164
experiment_items_supplier_fin_ebitda;73271.95800000006;825075.0309999989
mean_effect_categories_items_num_unique_visits;;0.005475336952835772
effect_left_bound_categories_items_num_unique_visits;;0.0029075895901164326
effect_right_bound_categories_items_num_unique_visits;;0.008033721631807442
mean_effect_categories_items_num_unique_visits * total_group_size;;4196.0
control_metric_means_categories_items_num_unique_visits;;0.2457178379938501
target_metric_mean_categories_items_num_unique_visits;;0.2511425238096481
metric_pvalue_categories_items_num_unique_visits;;0.0003
metric_significance_categories_items_num_unique_visits;;1.0
mean_effect_categories_items_num_unique_visits * total_group_size / categories_items_num_unique_visits;;0.021770599314091223
mean_effect_categories_items_num_visits;;0.007583963080844638
effect_left_bound_categories_items_num_visits;;0.00309009012297409
effect_right_bound_categories_items_num_visits;;0.012331809045506072
